Area Code,Parliamentary Constituency,Persons-2008,Males-2008,Females-2008,% aged 0-14-2008,% aged 15-34-2008,% aged 35-54-2008,% aged 55-74-2008,% aged 75+-2008,Area_sqkm-2008,Pop Density (sqkm)-2008,% of London Population-2008,% All people-2001,% White British-2001,% White Irish-2001,% White Other White-2001,% Mixed White and Black Caribbean-2001,% Mixed White and Black African-2001,% Mixed White and Asian-2001,% Mixed Other Mixed-2001,% Asian or Asian British Indian-2001,% Asian or Asian British Pakistani-2001,% Asian or Asian British Bangladeshi-2001,% Asian or Asian British Other Asian-2001,% Black or Black British Black Caribbean-2001,% Black or Black British Black African-2001,% Black or Black British Other Black-2001,% Chinese or other ethnic group Chinese-2001,% Chinese or other ethnic group Other Ethnic Group-2001,White-2001,Mixed-2001,Asian-2001,Black-2001,Chinese/Other-2001,Actual deaths-2008,Births-2008,General Fertility Rate-2008,SMR-2008,Infant Mortality rate-2008,Dwelling Stock; Total-2008,% dwellings in Bands A or B-2008,"% dwellings in Bands C, D, and E-2008","% dwellings in Bands F, G and H-2008",Dwellings in Band A-2008,Dwellings in Band B-2008,Dwellings in Band C-2008,Dwellings in Band D-2008,Dwellings in Band E-2008,Dwellings in Band F-2008,Dwellings in Band G-2008,Dwellings in Band H-2008,Unequivalised Mean Income-£-2009,% under £20k-2009,% over £50k-2009,Equivalised Mean Income-£-2009,% under £20k-2009,% over £50k-2009,Disability Living Allowance Claimants; Total-2008,16 to 59-2008,Disability Living Allowance-2008,Incapacity Benefit/Severe Disablement Allowance Claimants; Total-2008,16 to 64-2008,Incapacity Benefit/Severe Disablement Allowance-2008,Income Support Claimants; Total-2008,16 to 59-2008,Income Support-2008,% of London total-2008,Jobseekers Allowance Claimants; Total-2008,Working age-2008,Jobseekers Allowance-2008,Jobseekers Allowance Claimants; Male-2008,Male 16-64-2008,Jobseekers Allowance (Males)-2008,Jobseekers Allowance Claimants; Female-2008,Female 16-59-2008,Jobseekers Allowance (Females)-2008,Jobseekers Allowance Claimants; Aged 16-24-2008,16 to 24-2008,Jobseekers Allowance (16-24)-2008,Jobseekers Allowance Claimants; Aged 25-49-2008,25 to 49-2008,Jobseekers Allowance (25-49)-2008,Jobseekers Allowance Claimants; Aged 50 and Over-2008,50 to pension age-2008,Jobseekers Allowance (50 to pension age)-2008,Pension Credit Claimants; Total-2008,60 and over-2008,Pension Credit-2008,Claimants-Persons-Jan-10,Claimants-Males-Jan-10,Claimants-Females-Jan-10,Claimants-16-24-Jan-10,Labour Force-Persons-Jan-10,Labour Force-Males-Jan-10,Labour Force-Females-Jan-10,Labour Force-16-24-Jan-10,Rates-Persons-Jan-10,Rates-Males-Jan-10,Rates-Females-Jan-10,Rates-16-24-Jan-10,Total Notifiable Offences-2009,Violence Against The Person-2009,Sexual Offences-2009,Robbery-2009,Burglary-2009,Theft & Handling-2009,Fraud & Forgery-2009,Criminal Damage-2009,Drugs-2009,Total Notifiable Offences-2009,Violence Against The Person-2009,Sexual Offences-2009,Robbery-2009,Burglary-2009,Theft & Handling-2009,Fraud & Forgery-2009,Criminal Damage-2009,Drugs-2009,Total Fires-2006,Total Casualties-2006,Dwellings-2006,Fires per 1000 dwellings-2006,Casualties per 100 fires-2006,Total Area of All Land Types Square metres (m2)(thousands) 2005-2006,Area of Domestic Buildings-2005,Area of Non Domestic Buildings-2005,Area of Road-2005,Area of Path-2005,Area of Rail-2005,Area of Domestic Gardens-2005,Area of Greenspace-2005,Area of Water-2005,Area of Other Land Uses-2005,Area of Unclassified Land-2005,Area of Admin Geography-2005,Area of Domestic Buildings-2005,Area of Non Domestic Buildings-2005,Area of Road-2005,Area of Path-2005,Area of Rail-2005,Area of Domestic Gardens-2005,Area of Greenspace-2005,Area of Water-2005,Area of Other Land Uses-2005,Area of Unclassified Land-2005,Area of Admin Geography-2005,All VAT Based Local Units-2004,Agriculture-2004,Production-2004,Construction-2004,Motor Trades-2004,Wholesale-2004,Retail-2004,Hotels & Catering-2004,Transport-2004,Post & Telecommunications-2004,Finance-2004,Property & Business Services-2004,Education-2004,Health-2004,Public Admin & Other Services-2004,Agriculture-2004,Production-2004,Construction-2004,Motor Trades-2004,Wholesale-2004,Retail-2004,Hotels & Catering-2004,Transport-2004,Post & Telecommunications-2004,Finance-2004,Property & Business Services-2004,Education-2004,Health-2004,Public Admin & Other Services-2004,"Tranport, Post, Telecomms, and Motor Trade-2004",Average Point Score of Pupils Eligible for KS1 Assessment-2008,Average Point Score of Pupils Eligible for KS2 Assessment-2008,Average GCSE and Equivalent Point Score Per Pupil at the End of KS4-2008,Average Capped GCSE and Equivalent Point Score Per Pupil at the End of KS4-2008,Average GCSE and Equivalent Point Score Per Boy Pupil at the End of KS4-2008,Average Capped GCSE and Equivalent Point Score Per Boy Pupil at the End of KS4-2008,Average GCSE and Equivalent Point Score Per Girl Pupil at the End of KS4-2008,Average Capped GCSE and Equivalent Point Score Per Girl Pupil at the End of KS4-2008,Average Level 3 QCA Point Score Per Student-2008,Average Level 3 QCA Point Score Per Entry; All Students-2008,Extent -2007,Rank of extent (within London)-2007,Income Scale-2007,Rank of income scale (within London)-2007,Employment Scale-2007,Rank of employment scale (within London)-2007,Average Score-2007,Rank of average score (within London)-2007,Average Rank-2007,Rank of average rank (within London)-2007,Local Concentration-2007,Rank of Local Concentration (within London)-2007,Highest SOA rank (national)-2007,Highest SOA rank (London)-2007,Number of SOAs in PC-2007,In worst 5%-2007,In worst 10%-2007,In worst 20%-2007,Above average (in worst 50%)-2007,% of SOAs in worst 20% in England-2007,IDACI-2007,Rank of IDACI (within London)-2007,IDAOPI-2007,Rank of IDAOPI (within London)-2007
A86,Camberwell and Peckham,116995,56027,60967,21,32,30,12,4,11.4,10272,1.5,100,45,3,6,2,1,1,1,1,0,1,1,12,21,3,2,2,56647,4277,3460,36948,3537,736,2498,81.4,111,5.6,50574,46,52,2,4765,18669,14939,7881,3304,588,393,35,33000,30,18,32000,35,16,5765,76274,7.6,6410,80020,8,8305,76274,10.9,2.3,3390,77958,4.3,2425,38464,6.3,965,39494,2.4,890,10517,8.5,1985,55718,3.6,510,11723,4.4,5510,14569,37.8,5025,3550,1475,1315,52414,27689,24725,3772,9.6,12.8,6,34.9,15532,4170,193,804,1252,3797,635,1455,2882,133,36,2,7,11,33,5,12,25,264,27,50574,5.2,10.2,11382,13,9,18,1,1,20,25,0,13,0,100,1498,968,2074,158,145,2225,2823,5,1486,0,11391,2385, -   ,8,6,4,6,17,9,3,1,2,24,3,2,17, -   ,195,145,85,150,400,215,70,20,35,565,70,55,400,7,14.2,27.3,369,296,340,276,402,317,609,201,0.58,9,32697,10,10721,5,36.81,12,6159,11,30037,24,1282,87,70,1,10,51,68,73,45.15,17,34.25,11
A92,Carshalton and Wallington,93072,45431,47641,20,27,30,16,6,25.5,3650,1.2,100,85,2,3,1,0,1,0,2,1,0,1,2,1,0,1,1,81843,1924,3824,2882,951,693,1350,65.5,99,5.9,38642,10,77,12,360,3628,14030,10165,5717,3324,1387,31,40000,22,26,36000,28,21,3660,56951,6.4,3120,61485,5.1,3300,56951,5.8,0.9,1060,59128,1.8,705,30218,2.3,355,28910,1.2,330,9903,3.3,545,36522,1.5,185,12703,1.5,3125,16288,19.2,2125,1420,705,600,45479,24873,20606,5622,4.7,5.7,3.4,10.7,6496,1340,88,174,871,2355,204,1146,245,70,14,1,2,9,25,2,12,3,159,15,38642,4.1,9.4,25663,8,3,10,1,1,28,41,1,8,0,99,1991,871,2619,132,137,7121,10513,215,2064,0,25496,2535,1,9,16,4,7,12,5,3,1,1,27,2,2,10,15,220,410,110,170,315,125,85,35,30,685,45,40,240,9,15.8,28.2,402,321,401,312,402,330,725,213,0.07,54,13185,54,4382,58,16.9,57,18211,59,26268,59,4849,887,61,0,0,2,26,3,21.97,56,15.87,56
B01,Chelsea and Fulham,107330,51172,56159,15,35,30,15,6,9.1,11766,1.4,100,61,4,20,1,1,1,1,1,1,1,1,2,3,1,1,2,84550,3135,3498,5461,3105,659,1510,49.8,85,2,53040,3,48,48,194,1588,5645,10645,9342,6858,12614,6154,46000,17,35,46000,18,34,3120,73103,4.3,3500,77659,4.5,3815,73103,5.2,1,1185,75247,1.6,735,36979,2,450,38268,1.2,255,8956,2.8,785,53976,1.5,145,12315,1.2,3555,16941,21,2055,1260,785,435,56496,30402,26094,4282,3.6,4.1,3,10.2,10656,1944,84,271,995,5255,399,871,725,99,18,1,3,9,49,4,8,7,201,30,53040,3.8,14.9,9704,16,9,18,1,1,16,14,15,11,0,94,1589,913,1784,69,59,1503,1344,1411,1031,0,9119,6535,0,5,2,1,6,15,7,2,1,2,42,1,1,16,5,330,145,60,395,950,480,125,35,115,2745,60,75,1025,3,15.3,28,395,319,388,309,394,322,681,206,0.1,45,13851,53,5361,49,21.44,46,14234,44,27514,46,2977,417,67,0,1,6,37,9,23.36,53,18.15,52
B06,Chingford and Woodford Green,82478,40016,42461,18,24,31,19,9,19.1,4325,1.1,100,80,2,4,1,0,1,1,2,2,0,1,3,2,1,1,0,70096,1731,3906,4195,794,730,1115,66.6,86,4.5,35683,11,76,14,604,3235,7555,11318,8140,3065,1682,84,42000,20,29,37000,26,23,3030,48831,6.2,2795,53376,5.2,2975,48831,6.1,0.8,1150,51038,2.3,770,26461,2.9,380,24577,1.5,370,8906,4.2,580,29955,1.9,200,12177,1.6,3255,17803,18.3,2070,1370,700,550,37892,20893,16999,3960,5.5,6.6,4.1,13.9,7274,1451,60,309,1252,2227,485,886,528,88,18,1,4,15,27,6,11,6,168,33,35683,4.7,19.6,19176,10,3,13,1,0,32,36,1,5,0,100,1924,564,2402,110,67,6063,6874,170,1001,0,19071,2325, -   ,5,14,3,7,15,6,3,1,2,30,2,2,10, -   ,120,330,80,155,350,145,65,20,45,685,50,40,235,7,15.4,28.7,412,330,399,320,430,343,715,206,0.12,42,12500,58,4180,61,22,43,14216,43,27983,43,2120,234,55,0,1,8,38,15,23.83,52,18.1,53
B08,Chipping Barnet,107280,52465,54815,18,25,32,18,7,34.6,3102,1.4,100,69,3,9,1,0,1,1,6,1,0,2,1,2,0,2,2,84187,2747,9129,3719,3479,843,1498,65.8,94,4.7,44918,7,64,29,545,2441,8253,9018,11563,7371,5010,717,43000,18,31,39000,23,25,3490,66159,5.3,3260,71734,4.5,3470,66159,5.2,1,1205,68772,1.8,785,35393,2.2,420,33379,1.3,365,9702,3.8,650,43059,1.5,190,16011,1.2,3445,20377,16.9,2235,1420,815,520,50938,28495,22443,3827,4.4,5,3.6,13.6,6935,1460,97,250,1329,2162,355,819,389,65,14,1,2,12,20,3,8,4,156,45,44918,3.5,28.8,34714,7,2,9,1,1,28,48,0,4,0,100,2502,685,3011,229,206,9834,16661,141,1445,0,34592,3485,0,6,10,3,8,12,6,2,1,2,37,2,2,11,15,195,345,105,290,410,190,75,45,70,1285,60,60,375,7,15.9,28.9,428,342,418,334,441,350,749,222,0.05,58,13887,52,4871,52,18.65,53,16084,53,26298,58,3521,553,69,0,0,5,30,7,19.61,60,14.74,61
B11,Cities of London and Westminster,113697,57705,55992,10,39,30,15,5,17.2,6609,1.5,100,54,3,21,1,1,1,1,3,1,2,2,1,3,0,2,4,75066,3222,7411,4330,5571,470,1207,37.4,62,2.5,67815,6,41,53,708,3200,6542,9233,12272,10722,14877,10261,46000,15,35,49000,15,38,3200,84005,3.8,4180,89163,4.7,3950,84005,4.7,1.1,1340,86693,1.5,930,45774,2,410,40919,1,305,12666,2.4,810,59356,1.4,225,14671,1.5,3180,17368,18.3,2530,1650,870,560,57704,32942,24762,4393,4.4,5,3.5,12.7,57301,7004,366,1222,2839,36665,2311,2256,3945,504,62,3,11,25,323,20,20,35,426,30,67815,6.3,7,17593,10,25,25,2,1,3,18,8,9,0,98,1836,4335,4307,350,110,459,3200,1436,1559,0,17203,48955,0,3,1,0,6,8,8,2,1,8,50,1,1,12,60,1565,430,110,3075,3780,3710,1130,355,3740,24295,315,375,5995,3,15.3,28.9,391,323,368,303,400,336,711,213,0.09,48,12835,57,6203,41,20.06,50,15251,50,26494,56,4487,792,65,0,0,4,37,6,21.94,57,15.76,58
B26,Croydon Central,110136,53966,56171,20,29,29,16,6,25.7,4291,1.4,100,71,2,4,1,0,1,1,4,1,1,1,6,4,1,1,1,83196,3959,7636,10959,1570,785,1575,63.1,97,7,46089,16,75,9,489,6987,16057,12123,6405,2788,1047,193,38000,24,24,35000,29,21,4485,68143,6.6,4040,73303,5.5,5290,68143,7.8,1.4,1665,70591,2.4,1120,36371,3.1,545,34220,1.6,600,12547,4.8,875,43667,2,190,14377,1.3,3810,18871,20.2,3080,2090,995,905,53239,29636,23603,6693,5.8,7.1,4.2,13.5,11571,2683,149,463,1248,3694,547,1588,997,105,24,1,4,11,34,5,14,9,192,51,46089,4.2,26.6,25632,9,3,12,1,1,28,41,0,5,0,100,2268,805,3064,218,189,7250,10565,35,1236,0,25664,3305, -   ,5,10,2,6,16,8,3,1,3,32,2,2,9, -   ,165,335,80,185,530,260,85,40,110,1045,70,75,295,6,15,27.5,385,305,362,291,416,322,686,208,0.21,36,21187,36,6097,43,23.35,42,14028,42,29112,38,947,46,70,1,2,17,42,24,33.83,34,17.7,55
B27,Croydon North,123574,59803,63773,20,29,31,15,5,17.6,7035,1.6,100,44,2,5,2,1,1,1,11,4,1,3,15,7,2,1,1,60573,5513,23055,28593,1685,750,2407,81.3,98,5.8,51869,23,73,4,1275,10471,16573,15724,5561,1617,599,49,35000,27,20,32000,33,16,5185,78756,6.6,5270,83869,6.3,6760,78756,8.6,1.9,2770,81221,3.4,1900,40464,4.7,870,40757,2.1,795,14623,5.4,1615,50922,3.2,360,15676,2.3,4880,18386,26.5,4510,3105,1405,1115,58819,31122,27697,6820,7.7,10,5.1,16.3,14009,2995,157,837,1842,4249,844,1671,1254,113,24,1,7,15,34,7,14,10,225,24,51869,4.3,10.7,17501,14,6,16,1,2,33,20,0,8,0,100,2404,1093,2784,185,268,5822,3479,37,1429,0,17566,3010, -   ,8,9,5,8,16,9,3,2,2,26,2,2,9, -   ,235,265,160,245,485,255,80,45,45,780,60,65,265,10,15,27.1,384,301,363,288,405,316,678,207,0.17,38,26978,16,8538,20,25.77,33,11149,32,28434,40,2093,231,80,0,3,14,68,18,33.34,35,25.29,32
B28,Croydon South,107311,52858,54451,19,24,30,20,8,43.3,2479,1.4,100,79,2,4,1,0,1,1,4,1,0,1,2,2,0,1,1,88176,2824,6689,4524,1635,927,1349,64.4,91,3,44084,5,65,30,230,2070,10162,8979,9445,7080,5740,378,45000,16,34,41000,21,27,3420,62777,5.4,2845,69054,4.1,2775,62777,4.4,0.8,985,65859,1.5,660,34245,1.9,325,31614,1,300,9398,3.2,500,39688,1.3,185,16773,1.1,2715,22542,12,2025,1360,655,515,50924,28269,22655,4770,4,4.8,2.9,10.8,6529,1248,99,216,1149,2135,324,1010,293,61,12,1,2,11,20,3,9,3,219,27,44084,5,12.3,43218,7,2,9,0,1,35,42,0,4,0,100,2919,837,3966,135,343,15258,17992,20,1736,12,43289,3405,0,6,13,4,7,10,5,3,1,2,37,2,1,9,5,190,435,135,230,340,165,115,40,60,1265,60,45,300,9,16,28.7,436,333,421,322,455,348,759,216,0.03,62,10420,64,3963,62,13.95,64,20647,65,24475,64,4276,741,70,0,0,2,22,3,15.64,65,10.75,71
B29,Dagenham and Rainham,97468,46656,50812,20,28,28,18,8,43.5,2241,1.3,100,88,2,2,1,0,0,0,2,1,0,0,2,2,0,0,0,86793,1399,2522,4052,616,937,1578,73.8,113,5.1,40979,25,74,1,3390,6895,17562,11213,1554,299,51,15,35000,28,19,30000,36,14,4630,57562,8,3905,62507,6.2,4920,57562,8.5,1.3,1805,59949,3,1215,30307,4,590,29642,2,605,11432,5.3,925,35665,2.6,275,12852,2.1,4630,19382,23.9,3095,2160,940,895,43982,24294,19688,6594,7,8.9,4.8,13.6,8513,2198,94,249,1319,2336,402,1327,442,87,23,1,3,14,24,4,14,5,225,42,40979,5.5,18.7,42165,5,4,8,1,1,15,57,3,8,0,103,2069,1469,3351,212,333,6171,23910,1194,3456,0,43500,1995,0,11,18,6,8,13,6,9,1,1,18,3,2,8,5,215,360,125,155,250,115,170,10,25,350,50,30,150,15,15.1,27.7,375,299,356,285,392,312,710,201,0.25,32,19739,40,6226,39,27.24,31,11153,33,30306,18,1082,61,62,1,6,16,46,26,32.93,37,19.9,48
B45,Dulwich and West Norwood,104661,50405,54255,20,34,31,12,4,14.8,7054,1.4,100,56,3,8,2,1,1,1,2,1,1,1,12,9,2,1,1,64020,4545,3693,21973,1814,552,1998,71,99,8.5,46440,25,62,13,1598,10052,14308,9327,5267,3226,2381,281,39000,23,26,37000,27,23,4280,70271,6.1,4680,73542,6.4,6035,70271,8.6,1.7,2240,71774,3.1,1530,35563,4.3,710,36211,2,495,9861,5,1420,51070,2.8,320,10843,3,3870,12143,31.9,3825,2570,1260,870,52413,27342,25071,4118,7.3,9.4,5,21.1,11268,2575,141,780,1437,3371,463,1278,1044,108,25,1,8,14,32,4,12,10,237,30,46440,5.1,12.7,14857,13,5,16,1,1,28,28,0,8,0,100,1916,687,2374,143,212,4223,4138,32,1131,0,14838,2680, -   ,7,5,2,5,13,8,2,1,1,32,2,3,18, -   ,190,140,65,145,360,210,50,25,30,850,45,80,470,5,15,27.6,393,308,364,289,420,325,657,210,0.38,21,22340,30,8249,24,31.56,22,8920,22,30556,16,1014,50,64,3,11,26,56,41,36.42,24,27.14,27
B46,Ealing Central and Acton,114348,56518,57829,16,34,31,14,6,17.9,6377,1.5,100,53,5,15,1,1,1,1,6,2,0,2,4,3,1,2,5,76802,3976,10830,7880,6337,665,1787,60.9,81,3.9,49088,10,64,27,1096,3573,9374,11390,10649,6232,5906,868,44000,18,32,41000,22,28,3385,77684,4.4,3965,82189,4.8,4320,77684,5.6,1.2,1630,79881,2,1085,41271,2.6,545,38610,1.4,365,11353,3.2,1025,54752,1.9,240,13776,1.7,3920,17123,22.9,2945,2055,900,555,60714,33407,27306,5423,4.9,6.2,3.3,10.2,12381,2585,101,454,1435,4899,767,1168,831,108,23,1,4,13,43,7,10,7,252,54,49088,5.1,21.4,17892,12,9,17,1,4,28,19,0,10,0,100,2207,1566,3047,164,733,5079,3336,25,1736,0,17938,5515,0,7,5,2,10,11,6,3,1,1,37,1,1,14,10,370,270,125,525,610,330,175,65,65,2045,65,75,780,7,15.5,28.3,443,339,417,321,465,354,740,212,0.12,43,16575,45,6149,42,21.54,45,14474,46,28304,42,2174,247,70,0,2,11,45,16,27.58,45,21.7,38
B47,Ealing North,110513,53605,56909,20,27,31,17,6,23.3,4752,1.4,100,50,5,7,1,1,1,1,12,3,0,4,6,4,1,1,3,66370,4402,20383,10625,4068,752,2046,82.9,92,3.4,43832,12,83,5,516,4751,10709,19521,6072,1670,562,31,37000,25,22,33000,32,17,4150,68085,6.1,4305,73037,5.9,5225,68085,7.7,1.4,1785,70489,2.5,1165,35412,3.3,620,35077,1.8,480,11162,4.3,1005,43878,2.3,295,15449,1.9,4360,18734,23.3,3340,2140,1205,785,50734,27285,23449,4524,6.6,7.8,5.1,17.4,9738,2077,75,304,1417,2888,1093,1270,502,88,19,1,3,13,26,10,12,5,225,21,43832,5.1,9.3,23329,8,5,13,1,1,24,40,1,8,0,100,1874,1096,2960,244,198,5599,9300,211,1847,0,23256,2535, -   ,7,11,3,11,13,5,5,2,0,29,2,1,11, -   ,175,280,75,275,330,130,115,55,10,740,50,25,270,10,14.9,27.9,426,327,410,317,441,339,719,205,0.24,33,22792,27,6484,35,25.55,35,12074,36,29566,30,1908,197,70,0,4,15,45,21,35.38,29,21.49,40
B48,"Ealing, Southall",92860,45426,47434,21,30,31,14,5,14.3,6478,1.2,100,29,4,5,1,0,1,1,35,7,0,5,4,4,1,1,2,33569,2502,42638,7951,2615,519,1716,77.8,94,4.1,32099,16,79,6,1112,3956,9319,10597,5299,1612,187,17,36000,26,22,30000,38,15,4290,59314,7.2,4435,62693,7.1,4340,59314,7.3,1.2,1790,60896,2.9,1255,30995,4,535,29901,1.8,480,9922,4.8,1070,39531,2.7,240,11443,2.1,4080,12842,31.8,3240,2230,1015,830,40981,22421,18559,3399,7.9,9.9,5.5,24.4,9596,2735,133,434,1064,2503,487,1053,1039,103,30,1,5,12,27,5,11,11,138,21,32099,4.3,15.2,14222,10,6,13,1,2,25,32,1,10,0,101,1481,851,1846,189,344,3497,4492,176,1345,0,14334,2230, -   ,8,6,4,11,18,8,5,2,1,25,2,1,9, -   ,170,140,90,235,400,175,110,50,20,565,40,30,195,11,14.4,27.9,431,331,409,317,449,342,705,208,0.31,26,20974,37,7032,31,28.87,27,10340,27,30089,22,1658,150,55,0,7,18,44,33,36.02,27,30,18
B51,East Ham,125580,62492,63086,25,36,26,10,3,21.1,5956,1.6,100,29,1,4,1,1,1,1,16,11,10,5,6,11,1,1,2,41106,3589,50083,21392,3001,648,3047,96.7,112,4.3,46236,32,67,1,1935,12771,22135,6896,2117,341,31,10,31000,32,16,27000,43,12,6155,80009,7.7,5850,83354,7,7995,80009,10,2.2,3010,81566,3.7,2095,42192,5,915,39374,2.3,885,15404,5.7,1730,54673,3.2,395,11489,3.4,5610,12585,44.6,4305,2975,1335,1125,51364,30921,20443,5304,8.4,9.6,6.5,21.2,14270,3139,139,931,1495,4915,766,1585,1126,114,25,1,7,12,39,6,13,9,285,27,46236,6.2,9.5,19398,10,6,14,1,1,16,29,7,16,0,109,1966,1168,2750,213,267,3113,5538,1314,3069,0,21091,2045, -   ,7,9,3,9,25,6,5,1,1,21,3,2,10, -   ,140,180,65,175,515,130,95,20,10,430,55,30,205,9,14.5,27.1,368,303,347,290,390,317,633,198,0.74,6,43761,4,9574,12,41.59,7,4557,6,31125,10,748,22,78,6,19,63,78,81,49.6,7,42.37,5
B59,Edmonton,102415,49410,53003,22,29,29,15,5,19.7,5189,1.3,100,49,3,14,1,1,1,1,4,1,2,3,10,7,1,1,1,63782,3522,9386,17974,1829,697,2089,87.1,110,6.2,40887,19,78,3,2618,5232,15338,12754,3878,799,260,8,33000,31,17,29000,39,13,4270,62517,6.8,5220,66939,7.8,7600,62517,12.2,2.1,2540,64621,3.9,1730,31876,5.4,810,32745,2.5,705,12080,5.8,1455,39736,3.7,380,12805,3,4600,15507,29.7,4125,2745,1385,1105,41902,22822,19081,4275,9.8,12,7.3,25.8,9472,2052,122,486,1371,2796,355,1374,787,93,20,1,5,13,27,4,13,8,207,24,40887,5.1,11.6,19668,9,6,13,1,1,22,27,13,8,0,100,1816,1084,2580,181,104,4330,5313,2640,1621,0,19741,2135, -   ,13,11,5,12,17,6,4,1,1,18,2,2,9, -   ,275,235,105,245,370,135,80,30,10,390,35,40,185,10,14.7,27.3,348,288,319,268,378,309,597,200,0.45,16,32309,11,8506,21,33.96,15,7985,18,30883,13,736,20,65,3,10,26,59,40,48.23,11,27.81,26
B62,Eltham,90007,43118,46888,18,25,30,18,8,21.6,4168,1.2,100,81,2,4,1,0,1,1,2,1,0,1,2,3,1,1,1,75970,1759,3263,5113,1474,760,1191,63.5,91,3.4,37088,16,77,6,1606,4440,13062,8997,6658,1605,677,43,37000,25,23,34000,31,19,4450,53794,8.3,3860,58625,6.6,4265,53794,7.9,1.2,1355,56061,2.4,890,28497,3.1,465,27564,1.7,445,9513,4.7,715,33502,2.1,195,13046,1.5,3600,18507,19.5,2340,1575,760,685,39852,21803,18048,4069,5.9,7.2,4.2,16.8,7287,1703,97,218,1112,2253,300,1138,348,81,19,1,2,12,25,3,13,4,222,18,37088,6,8.1,21539,9,2,14,0,0,31,38,0,5,0,100,1828,496,2933,89,83,6713,8199,53,1146,0,21595,1535, -   ,4,15,3,4,17,7,4,1,1,25,4,2,13, -   ,55,235,40,65,255,110,60,20,15,380,55,30,205,8,15.2,28.1,394,309,371,296,418,321,655,207,0.33,25,17134,44,5857,46,29.68,25,9779,26,30229,19,1260,84,59,1,6,19,50,32,32.91,38,18.72,50
B63,Enfield North,97158,47421,49734,21,27,30,16,6,37.3,2607,1.3,100,74,3,9,1,0,1,1,2,0,1,1,3,3,1,1,1,77891,2355,3581,5962,1036,695,1668,78.4,94,4.2,40397,15,77,8,1715,4233,10152,15465,5559,2198,999,76,37000,24,23,34000,31,19,3730,59208,6.3,4115,63645,6.5,5555,59208,9.4,1.5,1675,61319,2.7,1100,31858,3.5,575,29461,2,550,9413,5.8,905,39484,2.3,215,12422,1.7,3715,16774,22.1,2995,1945,1055,840,45229,25586,19644,4504,6.6,7.6,5.4,18.6,7573,1402,85,384,1348,2190,309,1257,512,78,14,1,4,14,23,3,13,5,204,48,40397,5,23.5,37175,5,3,8,1,0,15,58,3,6,0,100,1965,1218,2798,214,150,5664,21661,1248,2257,0,37276,2315,1,7,16,4,9,14,6,5,2,2,24,2,1,9,15,155,360,95,200,325,145,105,35,35,560,50,30,200,10,15.2,27.8,363,302,350,292,378,313,638,202,0.22,34,21299,34,6205,40,25.6,34,12107,37,29228,36,1797,175,58,0,3,13,44,22,36.24,25,20.33,45
B64,"Enfield, Southgate",91683,44434,47249,17,28,30,18,8,25.2,3640,1.2,100,61,4,16,1,0,1,1,6,1,1,2,3,2,0,1,1,69276,2217,8282,4655,1811,748,1243,62,86,4,38173,5,66,29,563,1399,6669,7246,11145,5863,4549,739,43000,19,31,39000,24,25,2910,56829,5.1,2845,61295,4.6,2825,56829,5,0.8,1280,59024,2.2,900,30434,3,380,28590,1.3,395,9227,4.3,725,36939,2,160,12858,1.2,3465,18379,18.9,2225,1480,735,515,42923,23854,19068,3557,5.2,6.2,3.9,14.5,6078,886,71,292,1270,2092,283,751,362,66,10,1,3,14,23,3,8,4,156,12,38173,4.1,7.7,25152,9,2,11,1,1,31,42,1,4,0,100,2196,548,2639,170,220,7813,10434,198,933,0,25184,2955,0,4,9,2,8,14,7,3,1,2,36,1,2,11,10,125,260,65,225,420,205,90,30,65,1075,40,45,320,6,15.9,29.3,415,340,403,332,433,351,705,210,0.06,55,13119,55,4768,54,17.98,55,17142,55,26763,53,3581,576,58,0,0,4,26,7,22.21,55,18.64,51
B68,Erith and Thamesmead,100319,49381,50937,22,29,30,14,5,26.7,3757,1.3,100,74,2,3,1,0,1,1,5,1,0,1,3,7,1,1,1,71809,2081,6740,9656,1734,649,2065,88.1,100,3.4,42273,31,68,1,5467,7802,17399,8076,3097,377,47,8,35000,26,21,32000,33,16,4830,62661,7.7,4385,66679,6.6,5505,62661,8.8,1.5,1840,64635,2.8,1195,33209,3.6,645,31426,2.1,595,11049,5.4,980,41254,2.4,265,12332,2.1,3515,14454,24.3,3210,2145,1070,830,46921,26059,20862,5599,6.8,8.2,5.1,14.8,9380,2458,139,252,1194,2437,413,1722,580,94,25,1,3,12,24,4,17,6,255,45,42273,6,17.6,33669,5,4,9,1,0,14,27,32,9,0,79,1753,1261,2893,273,91,4671,8991,10739,2995,0,26703,1685, -   ,10,15,5,7,14,7,7,2,1,19,3,3,8, -   ,175,250,80,115,230,110,115,30,20,325,50,50,135,13,14.7,27.6,376,299,361,287,389,310,647,204,0.28,29,20619,38,6562,33,27.94,29,10785,29,30085,23,1985,209,61,0,7,19,50,31,32.65,39,21.15,42
