Barking and Dagenham,Other Notifiable Offences,Other Notifiable,3,12,5,12,4,1,4,7,8,11,7,4,1,7,7,12,3,3,1,4,7,6,5,5
Barking and Dagenham,Robbery,Business Property,0,2,3,5,3,2,6,5,7,3,5,2,5,2,3,,5,6,2,6,7,2,7,2
Barking and Dagenham,Robbery,Personal Property,19,25,39,18,16,12,13,25,14,17,15,16,10,23,13,25,11,18,16,22,17,15,13,20
Barking and Dagenham,Sexual Offences,Other Sexual,5,8,17,9,1,2,2,9,5,8,11,7,4,15,5,6,1,8,9,7,4,10,1,10
Barking and Dagenham,Sexual Offences,Rape,2,1,7,2,0,2,0,2,2,2,1,1,,2,1,3,2,1,2,,3,6,2,5
Barking and Dagenham,Theft and Handling,Handling Stolen Goods,2,1,1,1,0,0,1,1,,1,,,,,,2,,,,2,1,,1,
Barking and Dagenham,Theft and Handling,M/V Interference & Tampering,1,2,5,3,3,3,3,4,5,4,8,3,7,5,11,9,8,13,8,10,6,4,12,3
Barking and Dagenham,Theft and Handling,Other Theft,87,83,75,68,63,66,57,50,78,68,69,64,75,74,70,83,65,56,80,70,77,79,99,69
Barking and Dagenham,Theft and Handling,Theft From M/V,7,18,21,21,22,15,14,15,17,17,16,30,22,31,31,50,35,38,19,23,21,23,27,19
Barking and Dagenham,Theft and Handling,Theft From Shops,73,76,52,93,58,76,50,63,67,71,61,60,72,43,82,53,39,60,40,58,44,88,60,43
Barking and Dagenham,Theft and Handling,Theft Person,14,22,18,25,22,18,17,21,18,19,27,11,9,21,23,34,19,17,16,33,24,24,23,15
Barking and Dagenham,Theft and Handling,Theft/Taking of M/V,17,15,20,13,14,20,18,26,20,19,21,24,24,21,26,18,27,33,23,21,22,17,21,23
Barking and Dagenham,Theft and Handling,Theft/Taking of Pedal Cycles,11,20,10,9,1,1,2,9,13,11,15,10,5,12,13,2,5,6,5,5,7,7,8,12
Barking and Dagenham,Violence Against the Person,Assault with Injury,20,24,19,24,28,16,21,16,18,35,36,36,23,30,29,41,37,32,26,26,27,26,36,13
Barking and Dagenham,Violence Against the Person,Common Assault,23,29,55,46,32,25,29,30,40,45,40,60,38,45,60,40,45,34,43,50,40,52,42,45
Barking and Dagenham,Violence Against the Person,Harassment,46,51,39,54,32,41,42,41,38,54,61,59,31,41,50,62,41,49,33,62,56,43,34,43
Barking and Dagenham,Violence Against the Person,Murder,1,1,0,0,0,0,0,,,,,,,,,,,,,1,,,,
Barking and Dagenham,Violence Against the Person,Offensive Weapon,4,5,6,9,5,3,3,3,3,3,6,4,5,5,3,3,6,4,1,7,5,5,3,3
Barking and Dagenham,Violence Against the Person,Other Violence,1,2,4,2,3,4,6,3,6,3,3,5,5,4,5,5,7,10,5,5,9,8,8,16
Barking and Dagenham,Violence Against the Person,Wounding/GBH,15,9,8,15,11,1,5,13,7,9,19,20,9,17,16,11,15,16,9,5,17,16,11,13
Barnet,Burglary,Burglary - Business and Community,34,52,61,43,34,48,32,46,48,24,52,39,42,34,37,46,38,76,66,47,65,55,45,56
Barnet,Burglary,Burglary - Residential,7,5,7,12,6,5,6,11,7,7,5,6,5,7,8,11,8,5,6,8,12,9,12,7
Barnet,Criminal Damage,Arson,2,3,4,0,3,2,2,5,2,1,5,1,3,1,,2,1,4,2,1,,4,4,4
Barnet,Criminal Damage,Criminal Damage To M/V,21,9,18,12,4,6,8,13,9,15,15,15,13,11,14,9,13,18,8,8,12,9,12,13
Barnet,Criminal Damage,Criminal Damage To Other Bldg,4,11,9,6,6,4,5,10,6,7,7,6,1,4,12,12,4,6,10,7,7,10,10,6
Barnet,Criminal Damage,Criminal Damage To a Dwelling,5,3,7,0,2,3,3,4,3,4,5,4,2,1,5,4,1,5,,4,8,4,8,4
Barnet,Criminal Damage,Other Criminal Damage,35,23,23,20,29,21,19,25,25,29,27,33,20,31,31,18,25,18,25,33,23,17,20,27
Barnet,Drugs,Drug Trafficking,4,1,2,0,0,1,0,,4,2,,1,1,7,3,1,1,2,,4,2,2,1,1
Barnet,Drugs,Other Drug Offences,0,0,0,0,0,0,0,1,1,,,,,,2,,,,,,,,,
Barnet,Drugs,Possession Of Drugs,30,13,27,36,32,8,24,22,25,29,26,22,24,24,26,17,18,38,21,15,16,22,18,15
Barnet,Fraud or Forgery,Other Fraud & Forgery,0,1,1,1,1,1,1,1,1,,1,3,1,,1,,,1,1,,,2,2,2
Barnet,Other Notifiable Offences,Going Equipped,0,1,1,0,0,0,0,1,,,,2,,,2,,,,,,,,,
Barnet,Other Notifiable Offences,Other Notifiable,2,10,6,9,8,8,11,18,33,20,21,13,13,18,18,14,12,9,6,11,9,9,18,13
Barnet,Robbery,Business Property,8,7,7,4,11,7,8,9,10,7,5,4,3,2,5,7,3,6,8,10,7,2,9,7
Barnet,Robbery,Personal Property,29,14,18,26,16,8,9,15,16,12,18,20,21,35,17,21,20,28,20,21,11,38,20,14
Barnet,Sexual Offences,Other Sexual,9,9,15,8,16,3,7,14,13,24,23,8,5,16,24,15,8,13,9,14,10,12,17,10
Barnet,Sexual Offences,Rape,2,1,0,4,1,3,1,3,4,2,4,2,4,3,5,2,2,5,3,,3,5,6,3
Barnet,Theft and Handling,Handling Stolen Goods,1,1,1,0,0,0,2,,1,1,1,,1,,3,,,1,,,2,1,1,
Barnet,Theft and Handling,M/V Interference & Tampering,5,18,8,10,5,5,5,8,15,11,8,7,6,9,8,12,5,13,7,12,5,7,8,6
Barnet,Theft and Handling,Other Theft,135,150,109,112,123,55,51,61,88,103,119,101,76,103,111,122,121,109,119,130,121,137,137,139
