country_code,short_name,table_name,long_name,2_alpha_code,currency_unit,special_notes,region,income_group,wb_2_code,national_accounts_base_year,national_accounts_reference_year,sna_price_valuation,lending_category,other_groups,system_of_national_accounts,alternative_conversion_factor,ppp_survey_year,balance_of_payments_manual_in_use,external_debt_reporting_status,system_of_trade,government_accounting_concept,imf_data_dissemination_standard,latest_population_census,latest_household_survey,source_of_most_recent_income_and_expenditure_data,vital_registration_complete,latest_agricultural_census,latest_industrial_data,latest_trade_data,latest_water_withdrawal_data
DOM_El_Valle_AGG032,,"Dominican Republic, El Valle",,,,"El Valle is comprised of the following first administrative level units: Elías Piña, San Juan.",,,,,,,,,,,,,,,,,,,,,,,,
DOM_Enriquillo_AGG033,,"Dominican Republic, Enriquillo",,,,"Enriquillo is comprised of the following first administrative level units: Barahona, Bahoruco, Independencia, Pedernales.",,,,,,,,,,,,,,,,,,,,,,,,
DOM_Higuamo_AGG034,,"Dominican Republic, Higuamo",,,,"Higuamo is comprised of the following first administrative level units: Hato Mayor, Monte Plata, San Pedro de Macorís.",,,,,,,,,,,,,,,,,,,,,,,,
DOM_Ozama_AGG035,,"Dominican Republic, Ozama",,,,"Ozama o Metropolitana is comprised of the following first administrative level units: Distrito Nacional, Santo Domingo.",,,,,,,,,,,,,,,,,,,,,,,,
DOM_Valdesia_AGG036,,"Dominican Republic, Valdesia",,,,"Valdesia is comprised of the following first administrative level units: Azua, Peravia, San José de Ocoa, San Cristóbal.",,,,,,,,,,,,,,,,,,,,,,,,
DOM_Yuma_AGG037,,"Dominican Republic, Yuma",,,,"Yuma is comprised of the following first administrative level units: El Seibo, La Romana, La Altagracia.",,,,,,,,,,,,,,,,,,,,,,,,
ECU,,Ecuador,,,,None,,,,,,,,,,,,,,,,,,,,,,,,
ECU_Ambato_15522,,"Ecuador, Ambato",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
ECU_Azuay_EC.AZ_1135_ECU001,,"Ecuador, Azuay",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
ECU_Bolivar_EC.BO_1136_ECU002,,"Ecuador, Bolivar",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
ECU_Canar_EC.CA_1137_ECU003,,"Ecuador, Canar",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
ECU_Carchi_EC.CR_1138_ECU004,,"Ecuador, Carchi",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
ECU_Chimborazo_EC.CB_1139_ECU005,,"Ecuador, Chimborazo",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
ECU_Cotopaxi_EC.CT_1140_ECU006,,"Ecuador, Cotopaxi",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
ECU_Cuenca_15321,,"Ecuador, Cuenca",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
ECU_El_Oro_EC.EO_1141_ECU007,,"Ecuador, El Oro",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
ECU_Esmeraldas_EC.ES_1142_ECU008,,"Ecuador, Esmeraldas",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
ECU_Guayaquil_15423,,"Ecuador, Guayaquil",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
ECU_Guayas_EC.GU_1144_ECU023,,"Ecuador, Guayas",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
ECU_Imbabura_EC.IM_1145_ECU011,,"Ecuador, Imbabura",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
ECU_La_Amazonia_AGG087,,"Ecuador, La Amazonía",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
ECU_La_Costa_AGG086,,"Ecuador, La Costa",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
ECU_La_Sierra_AGG085,,"Ecuador, La Sierra",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
ECU_Loja_EC.LJ_1146_ECU012,,"Ecuador, Loja",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
ECU_Los_Rios_EC.LR_1147_ECU013,,"Ecuador, Los Rios",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
ECU_Machala_15376,,"Ecuador, Machala",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
ECU_Manabi_EC.MN_1148_ECU014,,"Ecuador, Manabi",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
ECU_Pichincha_EC.PI_1153_ECU019,,"Ecuador, Pichincha",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
ECU_Quito_15512,,"Ecuador, Quito",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
ECU_Santa_Elena_EC.SE_1158.5_ECU024,,"Ecuador, Santa Elena",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
ECU_Santo_Domingo_15514,,"Ecuador, Santo Domingo",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
ECU_Tungurahua_EC.TU_1155_ECU021,,"Ecuador, Tungurahua",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
EGY,,"Egypt, Arab Rep.",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
EGY_Lower_AGG088,,"Egypt, Arab Rep., Lower",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
EGY_Metropolitan_AGG094,,"Egypt, Arab Rep., Metropolitan",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
EGY_Upper_AGG088,,"Egypt, Arab Rep., Upper",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
SLV,,El Salvador,,,,None,,,,,,,,,,,,,,,,,,,,,,,,
SLV_Ahuachapan_SV.AH_1184_SLV001,,"El Salvador, Ahuachapan",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
SLV_Cabanas_SV.CA_1185_SLV002,,"El Salvador, Cabanas",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
SLV_Chalatenango_SV.CH_1186_SLV003,,"El Salvador, Chalatenango",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
SLV_Cuscatlan_SV.CU_1187_SLV004,,"El Salvador, Cuscatlan",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
SLV_La_Libertad_SV.LL_1188_SLV005,,"El Salvador, La Libertad",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
SLV_La_Paz_SV.LP_1189_SLV006,,"El Salvador, La Paz",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
SLV_La_Union_SV.UN_1190_SLV007,,"El Salvador, La Union",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
SLV_Morazan_SV.MO_1191_SLV008,,"El Salvador, Morazan",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
SLV_San_Miguel_SV.SM_1192_SLV009,,"El Salvador, San Miguel",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
SLV_San_Salvador_SV.SS_1193_SLV010,,"El Salvador, San Salvador",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
SLV_San_Vicente_SV.SV_1194_SLV011,,"El Salvador, San Vicente",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
SLV_Santa_Ana_SV.SA_1195_SLV012,,"El Salvador, Santa Ana",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
SLV_Sonsonate_SV.SO_1196_SLV013,,"El Salvador, Sonsonate",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
SLV_Usulutan_SV.US_1197_SLV014,,"El Salvador, Usulutan",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
EST,,Estonia,,,,None,,,,,,,,,,,,,,,,,,,,,,,,
EST_Harju_15895,,"Estonia, Harju",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
EST_Hiiumaa_EE.HI_1213_EST002,,"Estonia, Hiiumaa",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
EST_Ida-Virumaa_EE.IV_1214_EST003,,"Estonia, Ida-Virumaa",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
EST_Jarvamaa_EE.JA_1215_EST016,,"Estonia, Jarvamaa",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
EST_Jogevamaa_EE.JO_1216_EST005,,"Estonia, Jogevamaa",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
EST_Laanemaa_EE.LA_1218_EST006,,"Estonia, Laanemaa",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
EST_Laane-Virumaa_EE.LV_1217_EST007,,"Estonia, Laane-Virumaa",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
EST_Parnumaa_EE.PA_1219_EST008,,"Estonia, Parnumaa",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
EST_Polvamaa_EE.PO_1220_EST009,,"Estonia, Polvamaa",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
EST_Rapla_16058,,"Estonia, Rapla",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
EST_Saare_15975,,"Estonia, Saare",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
EST_Tartu_16096,,"Estonia, Tartu",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
EST_Valgamaa_EE.VA_1224_EST013,,"Estonia, Valgamaa",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
EST_Viljandimaa_EE.VI_1225_EST014,,"Estonia, Viljandimaa",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
EST_Vorumaa_EE.VO_1226_EST015,,"Estonia, Vorumaa",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
GEO,,Georgia,,,,None,,,,,,,,,,,,,,,,,,,,,,,,
GEO_Abkhazia_Aut_Rep_GE.AA_1296_GEO001,,"Georgia, Abkhazia Aut. Rep.",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
GEO_Adjara_Aut_Rep_GE.AR_1297_GEO002,,"Georgia, Adjara Aut. Rep.",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
GEO_Guria_GE.GU_1298_GEO003,,"Georgia, Guria",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
GEO_Imereti_GE.IM_1299_GEO004,,"Georgia, Imereti",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
GEO_Kakheti_GE.KA_1300_GEO005,,"Georgia, Kakheti",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
GEO_Kvemo_Kartli_GE.KK_1301_GEO006,,"Georgia, Kvemo Kartli",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
GEO_Mtskheta-Mtianeti_GE.MM_1302_GEO007,,"Georgia, Mtskheta-Mtianeti",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
GEO_Samergelo_Zemo_Svaneti_GE.SZ_1304_GEO009,,"Georgia, Samergelo and Zemo (upper) Svaneti",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
GEO_Samtskhe-Javakheti_GE.SA_1298.99_GEO008,,"Georgia, Samtskhe-Javakheti",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
GEO_Shida_Kartli_GE.SD_1306_GEO011,,"Georgia, Shida Kartli",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
GEO_Tbilisi_GE.TB_1307_GEO012,,"Georgia, Tbilisi",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
GTM,,Guatemala,,,,None,,,,,,,,,,,,,,,,,,,,,,,,
GTM_Central_AGG096,,"Guatemala, Central",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
GTM_Metropolitana_AGG097,,"Guatemala, Metropolitana",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
GTM_Noroccidental_AGG098,,"Guatemala, Noroccidental",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
GTM_Nororiental_AGG099,,"Guatemala, Nororiental",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
GTM_Norte_AGG100,,"Guatemala, Norte",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
GTM_Peten_AGG101,,"Guatemala, Petén",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
GTM_Suroccidental_AGG102,,"Guatemala, Suroccidental",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
GTM_Suroriental_AGG103,,"Guatemala, Suroriental",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
GIN,,Guinea,,,,None,,,,,,,,,,,,,,,,,,,,,,,,
GIN_Boke_GN.BO_40700_GIN001,,"Guinea, Boke",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
GIN_Conakry_GN.CO_40701_GIN002,,"Guinea, Conakry",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
GIN_Faranah_GN.FA_40702_GIN003,,"Guinea, Faranah",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
GIN_Kankan_GN.KA_40703_GIN004,,"Guinea, Kankan",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
GIN_Kindia_GN.KI_40704_GIN005,,"Guinea, Kindia",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
GIN_Labe_GN.LA_40705_GIN006,,"Guinea, Labe",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
GIN_Mamou_GN.MA_40706_GIN007,,"Guinea, Mamou",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
GIN_N_Zerekore_GN.ZE_40707_GIN008,,"Guinea, NZerekore",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
HTI,,Haiti,,,,None,,,,,,,,,,,,,,,,,,,,,,,,
HTI_Centre_HT.CE_1410_HTI001,,"Haiti, Centre",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
HTI_Grand_Anse_HT.GA_72911_HTI002,,"Haiti, GrandAnse",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
HTI_L_Artibonite_HT.AR_1409_HTI003,,"Haiti, LArtibonite",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
HTI_Nippes_HT.NI_72912_HTI004,,"Haiti, Nippes",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
HTI_Nord_HT.NO_1412_HTI005,,"Haiti, Nord",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
HTI_Nord-Est_HT.NE_1413_HTI006,,"Haiti, Nord-Est",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
HTI_Nord-Ouest_HT.NR_1414_HTI007,,"Haiti, Nord-Ouest",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
HTI_Ouest_HT.OU_1415_HTI008,,"Haiti, Ouest",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
HTI_Sud_HT.SU_1416_HTI009,,"Haiti, Sud",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
HTI_Sud-Est_HT.SE_1417_HTI010,,"Haiti, Sud-Est",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
HUN,,Hungary,,,,None,,,,,,,,,,,,,,,,,,,,,,,,
HUN_Central_Hungary_AGG040,,"Hungary, Central Hungary",,,,"Közép-Magyarország is an EU Planning Unit comprised of the following first administrative level units (counties): Budapest, Pest.",,,,,,,,,,,,,,,,,,,,,,,,
HUN_Northern_Great_Plain_AGG041,,"Hungary, Northern Great Plain",,,,"Alföld és Észak is an EU Planning Unit comprised of the following first administrative level units (counties): Borsod-Abaúj-Zemplén, Heves, Nógrád, Hajdú-Bihar, Jász-Nagykun-Szolnok, Szabolcs-Szatmár-Bereg, Bács-Kiskun, Békés, Csongrád.",,,,,,,,,,,,,,,,,,,,,,,,
HUN_Southern_Transdanubia_AGG104,,"Hungary, Southern Transdanubia",,,,"Dunántúl is an EU Planning Unit comprised of the following first administrative level units (counties): Fejér, Komárom-Esztergom, Veszprém, Gyor-Moson-Sopron,Vas, Zala, Baranya, Somogy, Tolna.",,,,,,,,,,,,,,,,,,,,,,,,
IND,,India,,,,None,,,,,,,,,,,,,,,,,,,,,,,,
IND_Andaman_and_Nicobar_IN.AN_1484_IND001,,"India, Andaman and Nicobar  Islands",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
IND_Andhra_Pradesh_IN.AP_1485_IND002,,"India, Andhra Pradesh",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
IND_Arunachal_Pradesh_IN.AR_70072_IND003,,"India, Arunachal pradesh",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
IND_Assam_IN.AS_1487_IND004,,"India, Assam",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
IND_Bihar_IN.BR_70073_IND037,,"India, Bihar",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
IND_Chandigarh_IN.CH_70074_IND006,,"India, Chandigarh",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
IND_Chhattisgarh_IN.CT_70075_IND033,,"India, Chhattisgarh",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
IND_Dadra_Nagar_Haveli_IN.DN_70076_IND007,,"India, Dadra and Nagar Haveli",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
IND_Daman_Diu_IN.DD_70077_IND008,,"India, Daman and Diu",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
IND_Delhi_IN.DL_1489_IND009,,"India, Delhi",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
IND_Goa_IN.GA_1490_IND010,,"India, Goa",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
IND_Gujarat_IN.GJ_1491_IND011,,"India, Gujarat",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
IND_Haryana_IN.HR_1492_IND012,,"India, Haryana",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
IND_Himachal_Pradesh_IN.HP_1493_IND013,,"India, Himachal Pradesh",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
IND_Jammu_Kashmir_IN.JK_75200_IND014,,"India, Jammu/Kashmir",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
IND_Jharkhand_IN.JH_70078_IND038,,"India, Jharkhand",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
IND_Karnataka_IN.KA_1494_IND015,,"India, Karnataka",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
IND_Kerala_IN.KL_1495_IND016,,"India, Kerala",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
IND_Lakshadweep_IN.LD_1496_IND017,,"India, Lakshadweep",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
IND_Madhya_Pradesh_IN.MP_70079_IND018,,"India, Madhya Pradesh",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
IND_Maharashtra_IN.MH_1498_IND019,,"India, Maharashtra",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
IND_Manipur_IN.MN_1500_IND020,,"India, Manipur",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
IND_Meghalaya_IN.ML_1501_IND021,,"India, Meghalaya",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
IND_Mizoram_IN.MZ_1502_IND022,,"India, Mizoram",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
IND_Nagaland_IN.NL_1503_IND023,,"India, Nagaland",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
IND_Orissa_IN.OR_1504_IND024,,"India, Orissa",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
IND_Puducherry_IN.PU_70080_IND025,,"India, Puducherry",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
IND_Punjab_IN.PB_1505_IND026,,"India, Punjab",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
IND_Rajasthan_IN.RJ_1506_IND027,,"India, Rajasthan",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
IND_Sikkim_IN.SK_1507_IND028,,"India, Sikkim",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
IND_Tamil_Nadu_IN.TN_1508_IND029,,"India, Tamil Nadu",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
IND_Tripura_IN.TR_1509_IND030,,"India, Tripura",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
IND_Uttar_Pradesh_IN.UP_70081_IND035,,"India, Uttar Pradesh",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
IND_Uttarakhand_IN.UT_70082_IND031,,"India, Uttarakhand",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
IND_West_Bengal_IN.WB_1511_IND032,,"India, West Bengal",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
IDN_Bali_ID.BA_1513_IDN002,,"Indonesia, Bali, Prop.",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
IDN_Banten_ID.BT_73610_IDN031,,"Indonesia, Banten, Prop.",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
IDN_Bengkulu_ID.BE_1514_IDN003,,"Indonesia, Bengkulu, Prop.",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
IDN_D_I_Yogyakarta_ID.DY_1515_IDN005,,"Indonesia, DI Yogyakarta, Prop.",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
IDN_Dki_Jakarta_ID.DJ_1516_IDN007,,"Indonesia, DKI Jakarta, Prop.",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
IDN_Gorontalo_ID.GO_73611_IDN034,,"Indonesia, Gorontalo, Prop.",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
IDN_Jambi_ID.JA_1518_IDN006,,"Indonesia, Jambi, Prop.",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
IDN_Jawa_Barat_ID.JB_73613_IDN035,,"Indonesia, Jawa Barat, Prop.",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
IDN_Jawa_Tengah_ID.JT_1520_IDN008,,"Indonesia, Jawa Tengah, Prop.",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
IDN_Jawa_Timur_ID.TI_1521_IDN009,,"Indonesia, Jawa Timur, Prop.",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
IDN_Kalimantan_Barat_ID.KB_1522_IDN010,,"Indonesia, Kalimantan Barat, Prop.",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
IDN_Kalimantan_Selatan_ID.KS_1523_IDN011,,"Indonesia, Kalimantan selatan, Prop.",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
IDN_Kalimantan_Tengah_ID.KT_1524_IDN012,,"Indonesia, Kalimantan Tengah, Prop.",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
IDN_Kalimantan_Timur_ID.KA_1525_IDN013,,"Indonesia, Kalimantan Timur, Prop.",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
IDN_Bangka_Belitung_ID.BB_73609_IDN004,,"Indonesia, Kepulauan Bangka-Belitung, Prop.",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
IDN_Kepulauan_Riau_ID.KR_73614_IDN017,,"Indonesia, Kepulauan Riau, Prop.",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
IDN_Lampung_ID.LA_1526_IDN014,,"Indonesia, Lampung, Prop.",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
IDN_Maluku_Utara_ID.MU_73616_IDN016,,"Indonesia, Maluku Utara, Prop.",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
IDN_Maluku_ID.MA_73615_IDN015,,"Indonesia, Maluku, Prop.",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
IDN_Nangroe_Aceh_Darussalam_ID.AD_1512_IDN020,,"Indonesia, Nangroe Aceh Darussalam, Prop.",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
IDN_Nusa_Tenggara_Barat_ID.NB_1528_IDN022,,"Indonesia, Nusa Tenggara Barat, Prop.",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
IDN_Nusa_Tenggara_Timur_ID.NT_1529_IDN025,,"Indonesia, Nusa Tenggara Timur, Prop.",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
IDN_Papua_Barat_ID.PB_73612_IDN036,,"Indonesia, Papua Barat, Prop.",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
IDN_Papua_ID.PA_73617_IDN030,,"Indonesia, Papua, Prop.",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
IDN_Riau_ID.RI_73618_IDN037,,"Indonesia, Riau, Prop.",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
IDN_Sulawesi_Barat_ID.SB_73619_IDN038,,"Indonesia, Sulawesi Barat, Prop.",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
IDN_Sulawesi_Selatan_ID.SS_73620_IDN021,,"Indonesia, Sulawesi Selatan, Prop.",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
IDN_Sulawesi_Tengah_ID.ST_1532_IDN023,,"Indonesia, Sulawesi Tengah, Prop.",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
IDN_Sulawesi_Tenggara_ID.TE_1533_IDN029,,"Indonesia, Sulawesi Tenggara, Prop.",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
IDN_Sulawesi_Utara_ID.SU_73621_IDN024,,"Indonesia, Sulawesi Utara, Prop.",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
IDN_Sumatera_Barat_ID.BR_1535_IDN026,,"Indonesia, Sumatera Barat, Prop.",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
IDN_Sumatera_Selatan_ID.SM_73622_IDN027,,"Indonesia, Sumatera Selatan, Prop.",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
IDN_Sumatera_Utara_ID.SA_1537_IDN028,,"Indonesia, Sumatera Utara, Prop.",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
IRQ,,Iraq,,,,None,,,,,,,,,,,,,,,,,,,,,,,,
IRQ_Anbar_IQ.AN_1564_IRQ007,,"Iraq, Anbar",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
IRQ_Arbil_IQ.AR_1569_IRQ001,,"Iraq, Arbil",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
IRQ_As_Sulaymaniyah_IQ.AS_1580_IRQ004,,"Iraq, As Sulaymaniyah",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
IRQ_Babil_IQ.BA_1571_IRQ005,,"Iraq, Babil",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
IRQ_Baghdad_IQ.BG_1572_IRQ010,,"Iraq, Baghdad",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
IRQ_Basrah_IQ.BS_1565_IRQ006,,"Iraq, Basrah",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
IRQ_Dahuk_IQ.DA_1574_IRQ013,,"Iraq, Dahuk",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
IRQ_Diala_IQ.DI_1575_IRQ008,,"Iraq, Diala",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
IRQ_Kerbala_IQ.KE_1576_IRQ009,,"Iraq, Kerbala",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
IRQ_Kirkuk_36842,,"Iraq, Kirkuk",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
IRQ_Missan_IQ.MI_1577_IRQ011,,"Iraq, Missan",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
IRQ_Muthanna_IQ.MU_1566_IRQ002,,"Iraq, Muthanna",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
IRQ_Najaf_IQ.NA_1568_IRQ003,,"Iraq, Najaf",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
IRQ_Ninevah_IQ.NI_1578_IRQ012,,"Iraq, Ninevah",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
IRQ_Qadisiyah_IQ.QA_1567_IRQ014,,"Iraq, Qadisiyah",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
IRQ_Salaheldin_IQ.SA_1579_IRQ015,,"Iraq, Salaheldin",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
IRQ_Thiqar_IQ.TH_1573_IRQ017,,"Iraq, Thiqar",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
IRQ_Wasit_IQ.WA_1581_IRQ018,,"Iraq, Wasit",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
JOR_Ajloun_JO.AJ_1701_JOR001,,"Jordan, Ajloun",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
