country_code,short_name,table_name,long_name,2_alpha_code,currency_unit,special_notes,region,income_group,wb_2_code,national_accounts_base_year,national_accounts_reference_year,sna_price_valuation,lending_category,other_groups,system_of_national_accounts,alternative_conversion_factor,ppp_survey_year,balance_of_payments_manual_in_use,external_debt_reporting_status,system_of_trade,government_accounting_concept,imf_data_dissemination_standard,latest_population_census,latest_household_survey,source_of_most_recent_income_and_expenditure_data,vital_registration_complete,latest_agricultural_census,latest_industrial_data,latest_trade_data,latest_water_withdrawal_data
BLR_Mogilev_BY.MO_597_BLR005,,"Belarus, Mogilev",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
BLR_Vitebsk_BY.VI_598_BLR006,,"Belarus, Vitebsk",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
BTN,,Bhutan,,,,None,,,,,,,,,,,,,,,,,,,,,,,,
BTN_Bumthang_BT.BU_622_BTN001,,"Bhutan, Bumthang",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
BTN_Chhukha_BT.CH_623_BTN002,,"Bhutan, Chhukha",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
BTN_Dagana_BT.DA_624_BTN003,,"Bhutan, Dagana",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
BTN_Gasa_BT.GA_625_BTN004,,"Bhutan, Gasa",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
BTN_Ha_BT.HA_626_BTN005,,"Bhutan, Ha",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
BTN_Lhuentse_BT.LH_627_BTN006,,"Bhutan, Lhuentse",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
BTN_Mongar_BT.MO_628_BTN007,,"Bhutan, Mongar",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
BTN_Paro_BT.PR_629_BTN008,,"Bhutan, Paro",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
BTN_Pemagatshel_BT.PM_630_BTN009,,"Bhutan, Pemagatshel",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
BTN_Punakha_BT.PU_631_BTN010,,"Bhutan, Punakha",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
BTN_Samdrup-Jonkha_BT.SJ_632_BTN011,,"Bhutan, Samdrup-Jonkha",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
BTN_Samtse_BT.SM_633_BTN012,,"Bhutan, Samtse",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
BTN_Sarpang_BT.SA_634_BTN013,,"Bhutan, Sarpang",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
BTN_Thimphu_BT.TM_635_BTN014,,"Bhutan, Thimphu",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
BTN_Trashi_Yangtse_BT.TR_636_BTN015,,"Bhutan, Trashi Yangtse",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
BTN_Trashigang_BT.TG_637_BTN016,,"Bhutan, Trashigang",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
BTN_Trongsa_BT.TO_638_BTN017,,"Bhutan, Trongsa",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
BTN_Tsirang_BT.CR_639_BTN018,,"Bhutan, Tsirang",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
BTN_Wangdue-Phodrang_BT.WA_640_BTN019,,"Bhutan, Wangdue-Phodrang",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
BTN_Zhemgang_BT.SG_641_BTN020,,"Bhutan, Zhemgang",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
BOL,,Bolivia,,,,None,,,,,,,,,,,,,,,,,,,,,,,,
BOL_Beni_and_Pando_AGG084.55,,"Bolivia, Beni and Pando",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
BOL_Chuquisaca_BO.CH_4152_BOL002,,"Bolivia, Chuquisaca",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
BOL_Cochabamba_BO.CO_4153_BOL003,,"Bolivia, Cochabamba",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
BOL_La_Paz_BO.LP_4154_BOL004,,"Bolivia, La Paz",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
BOL_Oruro_BO.OR_4155_BOL005,,"Bolivia, Oruro",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
BOL_Potosi_BO.PO_4157_BOL007,,"Bolivia, Potosi",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
BOL_Santa_Cruz_BO.SC_4158_BOL008,,"Bolivia, Santa Cruz",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
BOL_Tarija_BO.TA_4159_BOL009,,"Bolivia, Tarija",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
BIH,,Bosnia and Herzegovina,,,,None,,,,,,,,,,,,,,,,,,,,,,,,
BIH_Brcko_District_BA.BD_4160_BIH003,,"Bosnia and Herzegovina, Brcko",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
BIH_FBIH_BA.FE_652_BIH001,,"Bosnia and Herzegovina, Federacija Bosne I Hercegovine",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
BIH_Republika_Srpska_BA.RE_653_BIH002,,"Bosnia and Herzegovina, Republika Srpska",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
BGR,,Bulgaria,,,,None,,,,,,,,,,,,,,,,,,,,,,,,
BGR_Severen_tsentralen_AGG011,,"Bulgaria, Severen tsentralen",,,,"Severen Tsentralen is an EU Planning Unit comprised of the following first administrative level units: Veliko Tarnovo, Gabrovo, Ruse, Razgrad, Silistra.",,,,,,,,,,,,,,,,,,,,,,,,
BGR_Severoiztochen_AGG012,,"Bulgaria, Severoiztochen",,,,"Severoiztochen is an EU Planning Unit comprised of the following first administrative level units: Varna, Dobrich, Shumen, Targovishte.",,,,,,,,,,,,,,,,,,,,,,,,
BGR_Severozapaden_AGG0106,,"Bulgaria, Severozapaden",,,,"Severozapaden is an EU Planning Unit comprised of the following first administrative level units: Vidin, Montana, Vratsa, Pleven, Lovech.",,,,,,,,,,,,,,,,,,,,,,,,
BGR_Yugoiztochen_AGG013,,"Bulgaria, Yugoiztochen",,,,"Yugoiztochen is an EU Planning Unit comprised of the following first administrative level units:  Burgas, Sliven, Yambol, Stara Zagora.",,,,,,,,,,,,,,,,,,,,,,,,
BGR_Yugozapaden_AGG076,,"Bulgaria, Yugozapaden",,,,"Yugozapaden is an EU Planning Unit comprised of the following first administrative level units: Sofia City, Sofia, Blagoevgrad, Pernik, Kyustendil.",,,,,,,,,,,,,,,,,,,,,,,,
BGR_Yuzhen_tsentralen_AGG014,,"Bulgaria, Yuzhen tsentralen",,,,"Yuzhen tsentralen is an EU Planning Unit comprised of the following first administrative level units: Plovdiv, Haskovo, Pazardzhik, Smolyan, Kardzhali.",,,,,,,,,,,,,,,,,,,,,,,,
CMR,,Cameroon,,,,None,,,,,,,,,,,,,,,,,,,,,,,,
CMR_Adamaoua_CM.AD_815_CMR001,,"Cameroon, Adamaoua",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
CMR_Centre_CM.CE_816_CMR002,,"Cameroon, Centre",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
CMR_Est_CM.ES_817_CMR003,,"Cameroon, Est",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
CMR_Extreme-Nord_CM.EN_818_CMR004,,"Cameroon, Extreme-Nord",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
CMR_Littoral_CM.LI_819_CMR008,,"Cameroon, Littoral (Coastal)",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
CMR_Nord_CM.NO_820_CMR006,,"Cameroon, Nord",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
CMR_Nord-Ouest_CM.NW_821_CMR007,,"Cameroon, Nord-Ouest",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
CMR_Ouest_CM.OU_822_CMR005,,"Cameroon, Ouest",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
CMR_Sud_CM.SU_823_CMR009,,"Cameroon, Sud",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
CMR_Sud-Ouest_CM.SW_824_CMR010,,"Cameroon, Sud-Ouest",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
