web-scraper-order,web-scraper-start-url,paginas,producto,producto-href,nombreproducto,precioproducto,unidadesproducto,ubicacionproduto
"1661799786-20","https://listado.mercadolibre.com.co/tractomula-juguete#D[A:tractomula%20juguete]","https://listado.mercadolibre.com.co/juegos-juguetes/vehiculos-juguete/vehiculos-escala/tractomula-juguete_Desde_51_NoIndex_True","Minimula Tractomula Tractocamion Escala 7cm Largo Matchbox","https://articulo.mercadolibre.com.co/MCO-450460154-minimula-tractomula-tractocamion-escala-7cm-largo-matchbox-_JM?searchVariation=67867868073#searchVariation=67867868073&position=32&search_layout=stack&type=item&tracking_id=8b1b08f0-24a5-4f8d-8281-67441822129c","Minimula Tractomula Tractocamion Escala 7cm Largo Matchbox","56.900","null","Cali, Valle Del Cauca"
"1661799759-10","https://listado.mercadolibre.com.co/tractomula-juguete#D[A:tractomula%20juguete]","https://listado.mercadolibre.com.co/juegos-juguetes/vehiculos-juguete/vehiculos-escala/tractomula-juguete_Desde_51_NoIndex_True","Vendido por Juguetelandia","https://tienda.mercadolibre.com.co/juguetelandia","Juguetelandia Tienda Oficial","null","null","null"
"1661799792-22","https://listado.mercadolibre.com.co/tractomula-juguete#D[A:tractomula%20juguete]","https://listado.mercadolibre.com.co/juegos-juguetes/vehiculos-juguete/vehiculos-escala/tractomula-juguete_Desde_51_NoIndex_True","Tractomula De Colección Metalica A Escala 1:50","https://articulo.mercadolibre.com.co/MCO-561423767-tractomula-de-coleccion-metalica-a-escala-150-_JM?searchVariation=173808166822#searchVariation=173808166822&position=30&search_layout=stack&type=item&tracking_id=8b1b08f0-24a5-4f8d-8281-67441822129c","Tractomula De Colección Metalica A Escala 1:50","142.830","(4 disponibles)","Kennedy, Bogotá D.C."
"1661799777-17","https://listado.mercadolibre.com.co/tractomula-juguete#D[A:tractomula%20juguete]","https://listado.mercadolibre.com.co/juegos-juguetes/vehiculos-juguete/vehiculos-escala/tractomula-juguete_Desde_51_NoIndex_True","Volqueta Freightliner 114sd, Escala 1/32, Newray, 55cms.","https://articulo.mercadolibre.com.co/MCO-941045856-volqueta-freightliner-114sd-escala-132-newray-55cms-_JM?searchVariation=174996246852#searchVariation=174996246852&position=35&search_layout=stack&type=item&tracking_id=8b1b08f0-24a5-4f8d-8281-67441822129c","Volqueta Freightliner 114sd, Escala 1/32, Newray, 55cms.","239.000","null","Engativá, Bogotá D.C."
"1661799821-33","https://listado.mercadolibre.com.co/tractomula-juguete#D[A:tractomula%20juguete]","https://listado.mercadolibre.com.co/juegos-juguetes/vehiculos-juguete/vehiculos-escala/tractomula-juguete_Desde_51_NoIndex_True","Mula Coca Cola , Escala 1/87 Carro De Coleccion","https://articulo.mercadolibre.com.co/MCO-595807747-mula-coca-cola-escala-187-carro-de-coleccion-_JM?searchVariation=69125104707#searchVariation=69125104707&position=19&search_layout=stack&type=item&tracking_id=8b1b08f0-24a5-4f8d-8281-67441822129c","Mula Coca Cola , Escala 1/87 Carro De Coleccion","110.000","null","Teusaquillo, Bogotá D.C."
"1661800171-165","https://listado.mercadolibre.com.co/tractomula-juguete#D[A:tractomula%20juguete]","","Tractomula Iveco Equipo Ducati/ Moto Gp/ Escala 1:87/ 18cms.","https://articulo.mercadolibre.com.co/MCO-578363259-tractomula-iveco-equipo-ducati-moto-gp-escala-187-18cms-_JM?searchVariation=64061502718#searchVariation=64061502718&position=4&search_layout=stack&type=item&tracking_id=ac2563ff-7ff4-40f7-8a21-654ffb87d2d9","Tractomula Iveco Equipo Ducati/ Moto Gp/ Escala 1:87/ 18cms.","22.700","null","¡Es uno de los mejores del sitio!"
"1661799981-94","https://listado.mercadolibre.com.co/tractomula-juguete#D[A:tractomula%20juguete]","https://listado.mercadolibre.com.co/juegos-juguetes/vehiculos-juguete/vehiculos-escala/tractomula-juguete_NoIndex_True","Tractomula De Fricción Con Excavadora Niñera Juguetes Niños","https://articulo.mercadolibre.com.co/MCO-842383665-tractomula-de-friccion-con-excavadora-ninera-juguetes-ninos-_JM?searchVariation=174012528070#searchVariation=174012528070&position=26&search_layout=stack&type=item&tracking_id=669f027a-e2f1-4664-91e6-204fafc9786e","Tractomula De Fricción Con Excavadora Niñera Juguetes Niños","38.000","(45 disponibles)","Santa Fe, Bogotá D.C."
"1661800007-104","https://listado.mercadolibre.com.co/tractomula-juguete#D[A:tractomula%20juguete]","https://listado.mercadolibre.com.co/juegos-juguetes/vehiculos-juguete/vehiculos-escala/tractomula-juguete_NoIndex_True","Tractomula Camión De Colección A Escala Kenworth W900","https://articulo.mercadolibre.com.co/MCO-911264688-tractomula-camion-de-coleccion-a-escala-kenworth-w900-_JM?searchVariation=174670244741#searchVariation=174670244741&position=16&search_layout=stack&type=item&tracking_id=669f027a-e2f1-4664-91e6-204fafc9786e","Tractomula Camión De Colección A Escala Kenworth W900","149.900","null","Bosa, Bogotá D.C."
"1661799782-19","https://listado.mercadolibre.com.co/tractomula-juguete#D[A:tractomula%20juguete]","https://listado.mercadolibre.com.co/juegos-juguetes/vehiculos-juguete/vehiculos-escala/tractomula-juguete_Desde_51_NoIndex_True","Tractomula Volvo Vn-780, Escala 1/32, Newray, 58cms Largo.","https://articulo.mercadolibre.com.co/MCO-941032817-tractomula-volvo-vn-780-escala-132-newray-58cms-largo-_JM?searchVariation=174996213565#searchVariation=174996213565&position=33&search_layout=stack&type=item&tracking_id=8b1b08f0-24a5-4f8d-8281-67441822129c","Tractomula Volvo Vn-780, Escala 1/32, Newray, 58cms Largo.","239.000","null","Engativá, Bogotá D.C."
"1661799871-52","https://listado.mercadolibre.com.co/tractomula-juguete#D[A:tractomula%20juguete]","https://listado.mercadolibre.com.co/juegos-juguetes/vehiculos-juguete/vehiculos-escala/tractomula-juguete_Desde_101_NoIndex_True","Cars Mack Tractomula 9 Cm T","https://articulo.mercadolibre.com.co/MCO-598061596-cars-mack-tractomula-9-cm-t-_JM?searchVariation=70443675797#searchVariation=70443675797&position=18&search_layout=stack&type=item&tracking_id=2ef21afa-6ec8-4663-a454-c4e8c9a9623e","Cars Mack Tractomula 9 Cm T","28.300","null","Rafael Uribe Uribe, Bogotá D.C."
