web-scraper-order,web-scraper-start-url,paginas_busqueda,ProductoKatana,ProductoKatana-href,nombre_producto,precio_producto,inventario_producto,origen_producto
"1661798134-80","https://listado.mercadolibre.com.co/katanas-japonesas#D[A:katanas%20japonesas]","https://listado.mercadolibre.com.co/deportes-fitness/boxeo-artes-marciales/proteccion-defensa/katanas/katanas-japonesas_NoIndex_True","Kimetsu No Yaiba Espada Katana Demon Slayer","https://articulo.mercadolibre.com.co/MCO-937025791-kimetsu-no-yaiba-espada-katana-demon-slayer-_JM#position=40&search_layout=stack&type=item&tracking_id=2f7c856e-2c8b-4255-b63f-3bf50d1a0170","Kimetsu No Yaiba Espada Katana Demon Slayer","35.000","Cantidad:1 unidad(3 disponibles)","Puente Aranda, Bogotá D.C."
"1661797975-9","https://listado.mercadolibre.com.co/katanas-japonesas#D[A:katanas%20japonesas]","https://listado.mercadolibre.com.co/deportes-fitness/boxeo-artes-marciales/proteccion-defensa/katanas/katanas-japonesas_Desde_51_NoIndex_True","Engeng  Osplay De Anime Ko Hou Shinobu Katana Samu Ai ...","https://articulo.mercadolibre.com.co/MCO-605072882-engeng-osplay-de-anime-ko-hou-shinobu-katana-samu-ai--_JM#position=42&search_layout=stack&type=item&tracking_id=5a5de2e5-84f7-48ba-bb2c-11c67d1b3d8d","Engeng  Osplay De Anime Ko Hou Shinobu Katana Samu Ai ...","491.999","Cantidad:1 unidad(5 disponibles)","Engativá, Bogotá D.C."
"1661798104-66","https://listado.mercadolibre.com.co/katanas-japonesas#D[A:katanas%20japonesas]","https://listado.mercadolibre.com.co/deportes-fitness/boxeo-artes-marciales/proteccion-defensa/katanas/katanas-japonesas_Desde_101_NoIndex_True","41 De Metal Nue O Anime De Fantasía De La Esp...","https://articulo.mercadolibre.com.co/MCO-605072848-41-de-metal-nue-o-anime-de-fantasia-de-la-esp-_JM#position=4&search_layout=stack&type=item&tracking_id=dca914cd-0fb2-4744-b5d2-a520d28be608","41 De Metal Nue O Anime De Fantasía De La Esp...","443.999","Cantidad:1 unidad(5 disponibles)","Engativá, Bogotá D.C."
"1661798310-136","https://listado.mercadolibre.com.co/katanas-japonesas#D[A:katanas%20japonesas]","","Katana Espada Sable Armas Modelo Adornos Para Figuras De","https://articulo.mercadolibre.com.co/MCO-832126289-katana-espada-sable-armas-modelo-adornos-para-figuras-de-_JM#position=1&search_layout=stack&type=item&tracking_id=4dd6e54e-5a70-4669-8c69-be353d1154f0","Katana Espada Sable Armas Modelo Adornos Para Figuras De","146.853","Cantidad:1 unidad(9 disponibles)","China"
"1661798131-78","https://listado.mercadolibre.com.co/katanas-japonesas#D[A:katanas%20japonesas]","https://listado.mercadolibre.com.co/deportes-fitness/boxeo-artes-marciales/proteccion-defensa/katanas/katanas-japonesas_NoIndex_True","Espada Katana En Acero Para Decoracion Coleccion Kill Bill","https://articulo.mercadolibre.com.co/MCO-595963806-espada-katana-en-acero-para-decoracion-coleccion-kill-bill-_JM#position=42&search_layout=stack&type=item&tracking_id=2f7c856e-2c8b-4255-b63f-3bf50d1a0170","Espada Katana En Acero Para Decoracion Coleccion Kill Bill","306.900","null","Fontibón, Bogotá D.C."
"1661798204-114","https://listado.mercadolibre.com.co/katanas-japonesas#D[A:katanas%20japonesas]","https://listado.mercadolibre.com.co/deportes-fitness/boxeo-artes-marciales/proteccion-defensa/katanas/katanas-japonesas_NoIndex_True","1: 6 Soldado Accs Samurai Katana Japonesa Hoja Corta Para","https://articulo.mercadolibre.com.co/MCO-850175734-1-6-soldado-accs-samurai-katana-japonesa-hoja-corta-para-_JM#position=5&search_layout=stack&type=item&tracking_id=2f7c856e-2c8b-4255-b63f-3bf50d1a0170","1: 6 Soldado Accs Samurai Katana Japonesa Hoja Corta Para","146.853","Cantidad:1 unidad(11 disponibles)","Guangdong"
"1661798022-29","https://listado.mercadolibre.com.co/katanas-japonesas#D[A:katanas%20japonesas]","https://listado.mercadolibre.com.co/deportes-fitness/boxeo-artes-marciales/proteccion-defensa/katanas/katanas-japonesas_Desde_51_NoIndex_True","Espada Samurái Con Forma De Dragón Chino, Tamaño Pequeño, 1","https://articulo.mercadolibre.com.co/MCO-878638414-espada-samurai-con-forma-de-dragon-chino-tamano-pequeno-1-_JM#position=22&search_layout=stack&type=item&tracking_id=5a5de2e5-84f7-48ba-bb2c-11c67d1b3d8d","Espada Samurái Con Forma De Dragón Chino, Tamaño Pequeño, 1","111.118","Cantidad:1 unidad(100 disponibles)","China"
"1661798041-38","https://listado.mercadolibre.com.co/katanas-japonesas#D[A:katanas%20japonesas]","https://listado.mercadolibre.com.co/deportes-fitness/boxeo-artes-marciales/proteccion-defensa/katanas/katanas-japonesas_Desde_51_NoIndex_True","Katana Bushi - Funcional En Acero Al Carbono 1045, Samurai","https://articulo.mercadolibre.com.co/MCO-949005490-katana-bushi-funcional-en-acero-al-carbono-1045-samurai-_JM#position=13&search_layout=stack&type=item&tracking_id=5a5de2e5-84f7-48ba-bb2c-11c67d1b3d8d","Katana Bushi - Funcional En Acero Al Carbono 1045, Samurai","1.025.600","null","Bucaramanga, Santander"
"1661798153-89","https://listado.mercadolibre.com.co/katanas-japonesas#D[A:katanas%20japonesas]","https://listado.mercadolibre.com.co/deportes-fitness/boxeo-artes-marciales/proteccion-defensa/katanas/katanas-japonesas_NoIndex_True","Espada Sable Daga Katana Color1 Mts, Iaido Kendo,samurai Sai","https://articulo.mercadolibre.com.co/MCO-462136536-espada-sable-daga-katana-color1-mts-iaido-kendosamurai-sai-_JM?searchVariation=39984099305#searchVariation=39984099305&position=31&search_layout=stack&type=item&tracking_id=2f7c856e-2c8b-4255-b63f-3bf50d1a0170","Espada Sable Daga Katana Color1 Mts, Iaido Kendo,samurai Sai","306.900","Cantidad:1 unidad(2 disponibles)","Fontibón, Bogotá D.C."
"1661798094-61","https://listado.mercadolibre.com.co/katanas-japonesas#D[A:katanas%20japonesas]","https://listado.mercadolibre.com.co/deportes-fitness/boxeo-artes-marciales/proteccion-defensa/katanas/katanas-japonesas_Desde_101_NoIndex_True","Samurai Caja De Seda De La Espada Del Katana","https://articulo.mercadolibre.com.co/MCO-605072885-samurai-caja-de-seda-de-la-espada-del-katana-_JM#position=9&search_layout=stack&type=item&tracking_id=dca914cd-0fb2-4744-b5d2-a520d28be608","Samurai Caja De Seda De La Espada Del Katana","346.999","Cantidad:1 unidad(5 disponibles)","Engativá, Bogotá D.C."
"1661797969-6","https://listado.mercadolibre.com.co/katanas-japonesas#D[A:katanas%20japonesas]","https://listado.mercadolibre.com.co/deportes-fitness/boxeo-artes-marciales/proteccion-defensa/katanas/katanas-japonesas_Desde_51_NoIndex_True","Espada De Katana Dragon Ninja Sombra","https://articulo.mercadolibre.com.co/MCO-858066808-espada-de-katana-dragon-ninja-sombra-_JM#position=45&search_layout=stack&type=item&tracking_id=5a5de2e5-84f7-48ba-bb2c-11c67d1b3d8d","Espada De Katana Dragon Ninja Sombra","181.200","Cantidad:1 unidad(10 disponibles)","Aguachica, Cesar"
"1661797986-14","https://listado.mercadolibre.com.co/katanas-japonesas#D[A:katanas%20japonesas]","https://listado.mercadolibre.com.co/deportes-fitness/boxeo-artes-marciales/proteccion-defensa/katanas/katanas-japonesas_Desde_51_NoIndex_True","Sh Kaeru Rana Wakizashi Multiples","https://articulo.mercadolibre.com.co/MCO-595816732-sh-kaeru-rana-wakizashi-multiples-_JM#position=37&search_layout=stack&type=item&tracking_id=5a5de2e5-84f7-48ba-bb2c-11c67d1b3d8d","Sh Kaeru Rana Wakizashi Multiples","8.715.900","Cantidad:1 unidad(5 disponibles)","Envigado, Antioquia"
"1661797973-8","https://listado.mercadolibre.com.co/katanas-japonesas#D[A:katanas%20japonesas]","https://listado.mercadolibre.com.co/deportes-fitness/boxeo-artes-marciales/proteccion-defensa/katanas/katanas-japonesas_Desde_51_NoIndex_True","Dragon Samurai Espada Katana Wakizashi Tanto Soporte Pequeñ","https://articulo.mercadolibre.com.co/MCO-640988367-dragon-samurai-espada-katana-wakizashi-tanto-soporte-pequen-_JM#position=43&search_layout=stack&type=item&tracking_id=5a5de2e5-84f7-48ba-bb2c-11c67d1b3d8d","Dragon Samurai Espada Katana Wakizashi Tanto Soporte Pequeñ","172.800","Cantidad:1 unidad(10 disponibles)","Aguachica, Cesar"
"1661798060-46","https://listado.mercadolibre.com.co/katanas-japonesas#D[A:katanas%20japonesas]","https://listado.mercadolibre.com.co/deportes-fitness/boxeo-artes-marciales/proteccion-defensa/katanas/katanas-japonesas_Desde_51_NoIndex_True","Accesorio Correa Porta Katana Espada Arte Marcial Kendo Sais","https://articulo.mercadolibre.com.co/MCO-599112031-accesorio-correa-porta-katana-espada-arte-marcial-kendo-sais-_JM#position=5&search_layout=stack&type=item&tracking_id=5a5de2e5-84f7-48ba-bb2c-11c67d1b3d8d","Accesorio Correa Porta Katana Espada Arte Marcial Kendo Sais","24.900","null","Fontibón, Bogotá D.C."
"1661797982-12","https://listado.mercadolibre.com.co/katanas-japonesas#D[A:katanas%20japonesas]","https://listado.mercadolibre.com.co/deportes-fitness/boxeo-artes-marciales/proteccion-defensa/katanas/katanas-japonesas_Desde_51_NoIndex_True","Paraguas Con Mango De Espada Katana De 24 Varillas,.","https://articulo.mercadolibre.com.co/MCO-873503900-paraguas-con-mango-de-espada-katana-de-24-varillas-_JM#position=39&search_layout=stack&type=item&tracking_id=5a5de2e5-84f7-48ba-bb2c-11c67d1b3d8d","Paraguas Con Mango De Espada Katana De 24 Varillas,.","311.990","Cantidad:1 unidad(12 disponibles)","Aguachica, Cesar"
"1661797991-16","https://listado.mercadolibre.com.co/katanas-japonesas#D[A:katanas%20japonesas]","https://listado.mercadolibre.com.co/deportes-fitness/boxeo-artes-marciales/proteccion-defensa/katanas/katanas-japonesas_Desde_51_NoIndex_True","Demonio Asesino Kimetsu Sin Yaiba Agatsuma Zenitsu Espa...","https://articulo.mercadolibre.com.co/MCO-595408676-demonio-asesino-kimetsu-sin-yaiba-agatsuma-zenitsu-espa-_JM#position=35&search_layout=stack&type=item&tracking_id=5a5de2e5-84f7-48ba-bb2c-11c67d1b3d8d","Demonio Asesino Kimetsu Sin Yaiba Agatsuma Zenitsu Espa...","168.900","Cantidad:1 unidad(5 disponibles)","Envigado, Antioquia"
"1661798057-45","https://listado.mercadolibre.com.co/katanas-japonesas#D[A:katanas%20japonesas]","https://listado.mercadolibre.com.co/deportes-fitness/boxeo-artes-marciales/proteccion-defensa/katanas/katanas-japonesas_Desde_51_NoIndex_True","Tsuba Decorativa Kill Bill, Katana, Hattori Hanzo, Espada","https://articulo.mercadolibre.com.co/MCO-597252889-tsuba-decorativa-kill-bill-katana-hattori-hanzo-espada-_JM#position=6&search_layout=stack&type=item&tracking_id=5a5de2e5-84f7-48ba-bb2c-11c67d1b3d8d","Tsuba Decorativa Kill Bill, Katana, Hattori Hanzo, Espada","83.700","Cantidad:1 unidad(2 disponibles)","Bucaramanga, Santander"
"1661798140-83","https://listado.mercadolibre.com.co/katanas-japonesas#D[A:katanas%20japonesas]","https://listado.mercadolibre.com.co/deportes-fitness/boxeo-artes-marciales/proteccion-defensa/katanas/katanas-japonesas_NoIndex_True","Katana Espada Sable Samurai Ninja En Acero Para Decoracion","https://articulo.mercadolibre.com.co/MCO-902010922-katana-espada-sable-samurai-ninja-en-acero-para-decoracion-_JM#position=37&search_layout=stack&type=item&tracking_id=2f7c856e-2c8b-4255-b63f-3bf50d1a0170","Katana Espada Sable Samurai Ninja En Acero Para Decoracion","306.900","Cantidad:1 unidad(2 disponibles)","Fontibón, Bogotá D.C."
"1661798298-130","https://listado.mercadolibre.com.co/katanas-japonesas#D[A:katanas%20japonesas]","","Saki Katana - Tijeras Japonesas  6 Unidades   Color Negro","https://articulo.mercadolibre.com.co/MCO-853592600-saki-katana-tijeras-japonesas-6-unidades-color-negro-_JM#position=7&search_layout=stack&type=item&tracking_id=4dd6e54e-5a70-4669-8c69-be353d1154f0","Saki Katana - Tijeras Japonesas  6 Unidades   Color Negro","1.609.200","Cantidad:1 unidad(10 disponibles)","Aguachica, Cesar"
"1661798040-37","https://listado.mercadolibre.com.co/katanas-japonesas#D[A:katanas%20japonesas]","https://listado.mercadolibre.com.co/deportes-fitness/boxeo-artes-marciales/proteccion-defensa/katanas/katanas-japonesas_Desde_51_NoIndex_True","Tsuba Decorativa Inuyasha, Katana, Anime, Espada, Sword","https://articulo.mercadolibre.com.co/MCO-597247843-tsuba-decorativa-inuyasha-katana-anime-espada-sword-_JM#position=14&search_layout=stack&type=item&tracking_id=5a5de2e5-84f7-48ba-bb2c-11c67d1b3d8d","Tsuba Decorativa Inuyasha, Katana, Anime, Espada, Sword","83.200","Cantidad:1 unidad(3 disponibles)","Bucaramanga, Santander"
"1661798072-51","https://listado.mercadolibre.com.co/katanas-japonesas#D[A:katanas%20japonesas]","https://listado.mercadolibre.com.co/deportes-fitness/boxeo-artes-marciales/proteccion-defensa/katanas/katanas-japonesas_Desde_101_NoIndex_True","Vendo Espadas Para Exhibición De Artes Marciales","https://articulo.mercadolibre.com.co/MCO-906633455-vendo-espadas-para-exhibicion-de-artes-marciales-_JM#position=19&search_layout=stack&type=item&tracking_id=dca914cd-0fb2-4744-b5d2-a520d28be608","Vendo Espadas Para Exhibición De Artes Marciales","280.000","null","Cartagena De Indias, Bolivar"
"1661797984-13","https://listado.mercadolibre.com.co/katanas-japonesas#D[A:katanas%20japonesas]","https://listado.mercadolibre.com.co/deportes-fitness/boxeo-artes-marciales/proteccion-defensa/katanas/katanas-japonesas_Desde_51_NoIndex_True","Abrecartas Corta Negro Katana Con Decoración De Soporte Vert","https://articulo.mercadolibre.com.co/MCO-894370718-abrecartas-corta-negro-katana-con-decoracion-de-soporte-vert-_JM#position=38&search_layout=stack&type=item&tracking_id=5a5de2e5-84f7-48ba-bb2c-11c67d1b3d8d","Abrecartas Corta Negro Katana Con Decoración De Soporte Vert","283.000","null","Suba, Bogotá D.C."
"1661797967-5","https://listado.mercadolibre.com.co/katanas-japonesas#D[A:katanas%20japonesas]","https://listado.mercadolibre.com.co/deportes-fitness/boxeo-artes-marciales/proteccion-defensa/katanas/katanas-japonesas_Desde_51_NoIndex_True","Demonio Asesino Kimetsu Sin Yaiba Agatsuma Zenitsu Espa...","https://articulo.mercadolibre.com.co/MCO-912898626-demonio-asesino-kimetsu-sin-yaiba-agatsuma-zenitsu-espa-_JM#position=46&search_layout=stack&type=item&tracking_id=5a5de2e5-84f7-48ba-bb2c-11c67d1b3d8d","Demonio Asesino Kimetsu Sin Yaiba Agatsuma Zenitsu Espa...","159.990","null","Medellín, Antioquia"
"1661798033-34","https://listado.mercadolibre.com.co/katanas-japonesas#D[A:katanas%20japonesas]","https://listado.mercadolibre.com.co/deportes-fitness/boxeo-artes-marciales/proteccion-defensa/katanas/katanas-japonesas_Desde_51_NoIndex_True","Universal Samurai Sword Gear Knob Shifter Katana Metal","https://articulo.mercadolibre.com.co/MCO-864500707-universal-samurai-sword-gear-knob-shifter-katana-metal-_JM#position=17&search_layout=stack&type=item&tracking_id=5a5de2e5-84f7-48ba-bb2c-11c67d1b3d8d","Universal Samurai Sword Gear Knob Shifter Katana Metal","227.747","Cantidad:1 unidad(6 disponibles)","China"
"1661798115-70","https://listado.mercadolibre.com.co/katanas-japonesas#D[A:katanas%20japonesas]","https://listado.mercadolibre.com.co/deportes-fitness/boxeo-artes-marciales/proteccion-defensa/katanas/katanas-japonesas_NoIndex_True","Katana Musha Gold Warrior","https://articulo.mercadolibre.com.co/MCO-900255635-katana-musha-gold-warrior-_JM#position=50&search_layout=stack&type=item&tracking_id=2f7c856e-2c8b-4255-b63f-3bf50d1a0170","Katana Musha Gold Warrior","1.000.000","null","Cali, Valle Del Cauca"
"1661798199-112","https://listado.mercadolibre.com.co/katanas-japonesas#D[A:katanas%20japonesas]","https://listado.mercadolibre.com.co/deportes-fitness/boxeo-artes-marciales/proteccion-defensa/katanas/katanas-japonesas_NoIndex_True","Saki Katana - Tijeras Japonesas  6 Unidades   Color Negro","https://articulo.mercadolibre.com.co/MCO-853592600-saki-katana-tijeras-japonesas-6-unidades-color-negro-_JM#position=7&search_layout=stack&type=item&tracking_id=2f7c856e-2c8b-4255-b63f-3bf50d1a0170","Saki Katana - Tijeras Japonesas  6 Unidades   Color Negro","1.609.200","Cantidad:1 unidad(10 disponibles)","Aguachica, Cesar"
"1661798030-33","https://listado.mercadolibre.com.co/katanas-japonesas#D[A:katanas%20japonesas]","https://listado.mercadolibre.com.co/deportes-fitness/boxeo-artes-marciales/proteccion-defensa/katanas/katanas-japonesas_Desde_51_NoIndex_True","Katana Kimetsu No Yaiba (demon Slayer) - Rengoku En Acero","https://articulo.mercadolibre.com.co/MCO-858931762-katana-kimetsu-no-yaiba-demon-slayer-rengoku-en-acero-_JM#position=18&search_layout=stack&type=item&tracking_id=5a5de2e5-84f7-48ba-bb2c-11c67d1b3d8d","Katana Kimetsu No Yaiba (demon Slayer) - Rengoku En Acero","350.000","null","Kennedy, Bogotá D.C."
"1661798217-121","https://listado.mercadolibre.com.co/katanas-japonesas#D[A:katanas%20japonesas]","","Accesorio Correa Portakatana,cosplay Anime,walking No Katana","https://articulo.mercadolibre.com.co/MCO-452372452-accesorio-correa-portakatanacosplay-animewalking-no-katana-_JM#position=48&search_layout=stack&type=item&tracking_id=4dd6e54e-5a70-4669-8c69-be353d1154f0","Accesorio Correa Portakatana,cosplay Anime,walking No Katana","24.900","Cantidad:1 unidad(2 disponibles)","Fontibón, Bogotá D.C."
"1661798156-91","https://listado.mercadolibre.com.co/katanas-japonesas#D[A:katanas%20japonesas]","https://listado.mercadolibre.com.co/deportes-fitness/boxeo-artes-marciales/proteccion-defensa/katanas/katanas-japonesas_NoIndex_True","Baston Con Cuchillo Puñal Oculto Katana Lesiones Defensa","https://articulo.mercadolibre.com.co/MCO-452372583-baston-con-cuchillo-punal-oculto-katana-lesiones-defensa-_JM#position=29&search_layout=stack&type=item&tracking_id=2f7c856e-2c8b-4255-b63f-3bf50d1a0170","Baston Con Cuchillo Puñal Oculto Katana Lesiones Defensa","209.900","null","Fontibón, Bogotá D.C."
"1661798195-110","https://listado.mercadolibre.com.co/katanas-japonesas#D[A:katanas%20japonesas]","https://listado.mercadolibre.com.co/deportes-fitness/boxeo-artes-marciales/proteccion-defensa/katanas/katanas-japonesas_NoIndex_True","Katana Japonesa De Exhibición","https://articulo.mercadolibre.com.co/MCO-932060455-katana-japonesa-de-exhibicion-_JM#position=9&search_layout=stack&type=item&tracking_id=2f7c856e-2c8b-4255-b63f-3bf50d1a0170","Katana Japonesa De Exhibición","350.000","Cantidad:1 unidad(4 disponibles)","Usaquén, Bogotá D.C."
"1661798146-86","https://listado.mercadolibre.com.co/katanas-japonesas#D[A:katanas%20japonesas]","https://listado.mercadolibre.com.co/deportes-fitness/boxeo-artes-marciales/proteccion-defensa/katanas/katanas-japonesas_NoIndex_True","Baston De Calavera Espada Oculta Estoque Katana Defensa  Sai","https://articulo.mercadolibre.com.co/MCO-453295778-baston-de-calavera-espada-oculta-estoque-katana-defensa-sai-_JM#position=34&search_layout=stack&type=item&tracking_id=2f7c856e-2c8b-4255-b63f-3bf50d1a0170","Baston De Calavera Espada Oculta Estoque Katana Defensa  Sai","199.900","Cantidad:1 unidad(3 disponibles)","Fontibón, Bogotá D.C."
"1661798142-84","https://listado.mercadolibre.com.co/katanas-japonesas#D[A:katanas%20japonesas]","https://listado.mercadolibre.com.co/deportes-fitness/boxeo-artes-marciales/proteccion-defensa/katanas/katanas-japonesas_NoIndex_True","Set De 3 Kunais Lanzables En Acero Naruto Ninja Judo Sais","https://articulo.mercadolibre.com.co/MCO-591054849-set-de-3-kunais-lanzables-en-acero-naruto-ninja-judo-sais-_JM#position=36&search_layout=stack&type=item&tracking_id=2f7c856e-2c8b-4255-b63f-3bf50d1a0170","Set De 3 Kunais Lanzables En Acero Naruto Ninja Judo Sais","34.900","Cantidad:1 unidad(2 disponibles)","Fontibón, Bogotá D.C."
"1661798160-93","https://listado.mercadolibre.com.co/katanas-japonesas#D[A:katanas%20japonesas]","https://listado.mercadolibre.com.co/deportes-fitness/boxeo-artes-marciales/proteccion-defensa/katanas/katanas-japonesas_NoIndex_True","Demon Slayer Tanjiro Tomioka Mini Espada Katana Cosplay","https://articulo.mercadolibre.com.co/MCO-943264681-demon-slayer-tanjiro-tomioka-mini-espada-katana-cosplay-_JM?searchVariation=175020114833#searchVariation=175020114833&position=27&search_layout=stack&type=item&tracking_id=2f7c856e-2c8b-4255-b63f-3bf50d1a0170","Demon Slayer Tanjiro Tomioka Mini Espada Katana Cosplay","40.000","Cantidad:1 unidad(10 disponibles)","Puente Aranda, Bogotá D.C."
"1661798086-57","https://listado.mercadolibre.com.co/katanas-japonesas#D[A:katanas%20japonesas]","https://listado.mercadolibre.com.co/deportes-fitness/boxeo-artes-marciales/proteccion-defensa/katanas/katanas-japonesas_Desde_101_NoIndex_True","Wraith Of East Faux Leather Sword Strap Gun Flintlock Pistol","https://articulo.mercadolibre.com.co/MCO-626306665-wraith-of-east-faux-leather-sword-strap-gun-flintlock-pistol-_JM#position=13&search_layout=stack&type=item&tracking_id=dca914cd-0fb2-4744-b5d2-a520d28be608","Wraith Of East Faux Leather Sword Strap Gun Flintlock Pistol","196.410","Cantidad:1 unidad(12 disponibles)","Bucaramanga, Santander"
"1661798183-104","https://listado.mercadolibre.com.co/katanas-japonesas#D[A:katanas%20japonesas]","https://listado.mercadolibre.com.co/deportes-fitness/boxeo-artes-marciales/proteccion-defensa/katanas/katanas-japonesas_NoIndex_True","Palillos Samurai Katana Japoneses Tres Heros Ieyasu Tokugawa","https://articulo.mercadolibre.com.co/MCO-933558504-palillos-samurai-katana-japoneses-tres-heros-ieyasu-tokugawa-_JM#position=15&search_layout=stack&type=item&tracking_id=2f7c856e-2c8b-4255-b63f-3bf50d1a0170","Palillos Samurai Katana Japoneses Tres Heros Ieyasu Tokugawa","208.143","Cantidad:1 unidad(12 disponibles)","Aguachica, Cesar"
"1661798006-23","https://listado.mercadolibre.com.co/katanas-japonesas#D[A:katanas%20japonesas]","https://listado.mercadolibre.com.co/deportes-fitness/boxeo-artes-marciales/proteccion-defensa/katanas/katanas-japonesas_Desde_51_NoIndex_True","Catillas De Palanca De Palanca De Palanca De 15cm Oro Negro","https://articulo.mercadolibre.com.co/MCO-847425838-catillas-de-palanca-de-palanca-de-palanca-de-15cm-oro-negro-_JM#position=28&search_layout=stack&type=item&tracking_id=5a5de2e5-84f7-48ba-bb2c-11c67d1b3d8d","Catillas De Palanca De Palanca De Palanca De 15cm Oro Negro","157.387","null","China"
"1661798023-30","https://listado.mercadolibre.com.co/katanas-japonesas#D[A:katanas%20japonesas]","https://listado.mercadolibre.com.co/deportes-fitness/boxeo-artes-marciales/proteccion-defensa/katanas/katanas-japonesas_Desde_51_NoIndex_True","Universal Samurai Sword Gear Knob Shifter Katana Metal","https://articulo.mercadolibre.com.co/MCO-869129146-universal-samurai-sword-gear-knob-shifter-katana-metal-_JM#position=21&search_layout=stack&type=item&tracking_id=5a5de2e5-84f7-48ba-bb2c-11c67d1b3d8d","Universal Samurai Sword Gear Knob Shifter Katana Metal","243.881","Cantidad:1 unidad(6 disponibles)","China"
"1661798191-108","https://listado.mercadolibre.com.co/katanas-japonesas#D[A:katanas%20japonesas]","https://listado.mercadolibre.com.co/deportes-fitness/boxeo-artes-marciales/proteccion-defensa/katanas/katanas-japonesas_NoIndex_True","Katana Japonesa De Exhibición","https://articulo.mercadolibre.com.co/MCO-932060725-katana-japonesa-de-exhibicion-_JM#position=11&search_layout=stack&type=item&tracking_id=2f7c856e-2c8b-4255-b63f-3bf50d1a0170","Katana Japonesa De Exhibición","330.000","Cantidad:1 unidad(5 disponibles)","Usaquén, Bogotá D.C."
"1661798306-134","https://listado.mercadolibre.com.co/katanas-japonesas#D[A:katanas%20japonesas]","","1: 6 Soldado Accs Samurai Katana Japonesa Hoja Corta Para","https://articulo.mercadolibre.com.co/MCO-844672931-1-6-soldado-accs-samurai-katana-japonesa-hoja-corta-para-_JM#position=3&search_layout=stack&type=item&tracking_id=4dd6e54e-5a70-4669-8c69-be353d1154f0","1: 6 Soldado Accs Samurai Katana Japonesa Hoja Corta Para","132.408","Cantidad:1 unidad(11 disponibles)","Guangdong"
"1661798106-67","https://listado.mercadolibre.com.co/katanas-japonesas#D[A:katanas%20japonesas]","https://listado.mercadolibre.com.co/deportes-fitness/boxeo-artes-marciales/proteccion-defensa/katanas/katanas-japonesas_Desde_101_NoIndex_True","Bronceado Espada De Combate Wakizashi Con La Envoltura ...","https://articulo.mercadolibre.com.co/MCO-605072883-bronceado-espada-de-combate-wakizashi-con-la-envoltura--_JM#position=3&search_layout=stack&type=item&tracking_id=dca914cd-0fb2-4744-b5d2-a520d28be608","Bronceado Espada De Combate Wakizashi Con La Envoltura ...","358.999","Cantidad:1 unidad(5 disponibles)","Engativá, Bogotá D.C."
"1661798035-35","https://listado.mercadolibre.com.co/katanas-japonesas#D[A:katanas%20japonesas]","https://listado.mercadolibre.com.co/deportes-fitness/boxeo-artes-marciales/proteccion-defensa/katanas/katanas-japonesas_Desde_51_NoIndex_True","Katana Ao Tsuru - Funcional En Acero Al Carbono 1045, Ninja","https://articulo.mercadolibre.com.co/MCO-949005358-katana-ao-tsuru-funcional-en-acero-al-carbono-1045-ninja-_JM#position=16&search_layout=stack&type=item&tracking_id=5a5de2e5-84f7-48ba-bb2c-11c67d1b3d8d","Katana Ao Tsuru - Funcional En Acero Al Carbono 1045, Ninja","1.028.200","null","Bucaramanga, Santander"
"1661798075-52","https://listado.mercadolibre.com.co/katanas-japonesas#D[A:katanas%20japonesas]","https://listado.mercadolibre.com.co/deportes-fitness/boxeo-artes-marciales/proteccion-defensa/katanas/katanas-japonesas_Desde_101_NoIndex_True","Espada Katana Cobra Coleccion Decoracion","https://articulo.mercadolibre.com.co/MCO-603752100-espada-katana-cobra-coleccion-decoracion-_JM#position=18&search_layout=stack&type=item&tracking_id=dca914cd-0fb2-4744-b5d2-a520d28be608","Espada Katana Cobra Coleccion Decoracion","450.000","null","Engativá, Bogotá D.C."
"1661798100-64","https://listado.mercadolibre.com.co/katanas-japonesas#D[A:katanas%20japonesas]","https://listado.mercadolibre.com.co/deportes-fitness/boxeo-artes-marciales/proteccion-defensa/katanas/katanas-japonesas_Desde_101_NoIndex_True","E Bogu  Á Ti A De La Espada Katana De Made A Estilo D...","https://articulo.mercadolibre.com.co/MCO-605072850-e-bogu-a-ti-a-de-la-espada-katana-de-made-a-estilo-d-_JM#position=6&search_layout=stack&type=item&tracking_id=dca914cd-0fb2-4744-b5d2-a520d28be608","E Bogu  Á Ti A De La Espada Katana De Made A Estilo D...","359.999","Cantidad:1 unidad(5 disponibles)","Engativá, Bogotá D.C."
"1661798144-85","https://listado.mercadolibre.com.co/katanas-japonesas#D[A:katanas%20japonesas]","https://listado.mercadolibre.com.co/deportes-fitness/boxeo-artes-marciales/proteccion-defensa/katanas/katanas-japonesas_NoIndex_True","Katana Tsuru - Funcional En Acero Al Carbón 1045, Samurai","https://articulo.mercadolibre.com.co/MCO-596878934-katana-tsuru-funcional-en-acero-al-carbon-1045-samurai-_JM#position=35&search_layout=stack&type=item&tracking_id=2f7c856e-2c8b-4255-b63f-3bf50d1a0170","Katana Tsuru - Funcional En Acero Al Carbón 1045, Samurai","1.037.500","null","Bucaramanga, Santander"
