web-scraper-order,web-scraper-start-url,paginas_busqueda,ProductoKatana,ProductoKatana-href,nombre_producto,precio_producto,inventario_producto,origen_producto
"1661798129-77","https://listado.mercadolibre.com.co/katanas-japonesas#D[A:katanas%20japonesas]","https://listado.mercadolibre.com.co/deportes-fitness/boxeo-artes-marciales/proteccion-defensa/katanas/katanas-japonesas_NoIndex_True","Base Espadas X2 - Mesa - Para Katana, Wakizashi, Bokken","https://articulo.mercadolibre.com.co/MCO-644730779-base-espadas-x2-mesa-para-katana-wakizashi-bokken-_JM#position=43&search_layout=stack&type=item&tracking_id=2f7c856e-2c8b-4255-b63f-3bf50d1a0170","Base Espadas X2 - Mesa - Para Katana, Wakizashi, Bokken","72.500","Cantidad:1 unidad(3 disponibles)","Bucaramanga, Santander"
"1661798304-133","https://listado.mercadolibre.com.co/katanas-japonesas#D[A:katanas%20japonesas]","","Katana Espada Sable Armas Modelo Adornos Para Figuras De","https://articulo.mercadolibre.com.co/MCO-913312378-katana-espada-sable-armas-modelo-adornos-para-figuras-de-_JM#position=4&search_layout=stack&type=item&tracking_id=4dd6e54e-5a70-4669-8c69-be353d1154f0","Katana Espada Sable Armas Modelo Adornos Para Figuras De","128.185","Cantidad:1 unidad(9 disponibles)","China"
"1661797993-17","https://listado.mercadolibre.com.co/katanas-japonesas#D[A:katanas%20japonesas]","https://listado.mercadolibre.com.co/deportes-fitness/boxeo-artes-marciales/proteccion-defensa/katanas/katanas-japonesas_Desde_51_NoIndex_True","Bolso Bandolera","https://articulo.mercadolibre.com.co/MCO-580904011-bolso-bandolera-_JM#position=34&search_layout=stack&type=item&tracking_id=5a5de2e5-84f7-48ba-bb2c-11c67d1b3d8d","Bolso Bandolera","1.350.900","Cantidad:1 unidad(5 disponibles)","Engativá, Bogotá D.C."
"1661798066-49","https://listado.mercadolibre.com.co/katanas-japonesas#D[A:katanas%20japonesas]","https://listado.mercadolibre.com.co/deportes-fitness/boxeo-artes-marciales/proteccion-defensa/katanas/katanas-japonesas_Desde_51_NoIndex_True","Estante De Exhibición Del Soporte 2 Capas 14,6x9,8 Pulgadas","https://articulo.mercadolibre.com.co/MCO-890188440-estante-de-exhibicion-del-soporte-2-capas-146x98-pulgadas-_JM#position=2&search_layout=stack&type=item&tracking_id=5a5de2e5-84f7-48ba-bb2c-11c67d1b3d8d","Estante De Exhibición Del Soporte 2 Capas 14,6x9,8 Pulgadas","97.117","Cantidad:1 unidad(8 disponibles)","China"
"1661798092-60","https://listado.mercadolibre.com.co/katanas-japonesas#D[A:katanas%20japonesas]","https://listado.mercadolibre.com.co/deportes-fitness/boxeo-artes-marciales/proteccion-defensa/katanas/katanas-japonesas_Desde_101_NoIndex_True","Japonés Samu Ai Espadas A  Eso Ios Mekugi Eg A A Kat...","https://articulo.mercadolibre.com.co/MCO-605072959-japones-samu-ai-espadas-a-eso-ios-mekugi-eg-a-a-kat-_JM#position=10&search_layout=stack&type=item&tracking_id=dca914cd-0fb2-4744-b5d2-a520d28be608","Japonés Samu Ai Espadas A  Eso Ios Mekugi Eg A A Kat...","132.999","Cantidad:1 unidad(5 disponibles)","Engativá, Bogotá D.C."
"1661798108-68","https://listado.mercadolibre.com.co/katanas-japonesas#D[A:katanas%20japonesas]","https://listado.mercadolibre.com.co/deportes-fitness/boxeo-artes-marciales/proteccion-defensa/katanas/katanas-japonesas_Desde_101_NoIndex_True","Cordon Ito Para Envolver Mango Saya De Katana De Seda Sint","https://articulo.mercadolibre.com.co/MCO-641988865-cordon-ito-para-envolver-mango-saya-de-katana-de-seda-sint-_JM#position=2&search_layout=stack&type=item&tracking_id=dca914cd-0fb2-4744-b5d2-a520d28be608","Cordon Ito Para Envolver Mango Saya De Katana De Seda Sint","128.100","Cantidad:1 unidad(10 disponibles)","Aguachica, Cesar"
"1661797997-19","https://listado.mercadolibre.com.co/katanas-japonesas#D[A:katanas%20japonesas]","https://listado.mercadolibre.com.co/deportes-fitness/boxeo-artes-marciales/proteccion-defensa/katanas/katanas-japonesas_Desde_51_NoIndex_True","Mantenimiento De Espada De Samurai Japonés Katana De Ace","https://articulo.mercadolibre.com.co/MCO-564557176-mantenimiento-de-espada-de-samurai-japones-katana-de-ace-_JM#position=32&search_layout=stack&type=item&tracking_id=5a5de2e5-84f7-48ba-bb2c-11c67d1b3d8d","Mantenimiento De Espada De Samurai Japonés Katana De Ace","149.900","Cantidad:1 unidad(5 disponibles)","Engativá, Bogotá D.C."
"1661797980-11","https://listado.mercadolibre.com.co/katanas-japonesas#D[A:katanas%20japonesas]","https://listado.mercadolibre.com.co/deportes-fitness/boxeo-artes-marciales/proteccion-defensa/katanas/katanas-japonesas_Desde_51_NoIndex_True","Kei Project Katana Samurai Espada Palanca De Cambios Palanca","https://articulo.mercadolibre.com.co/MCO-592689002-kei-project-katana-samurai-espada-palanca-de-cambios-palanca-_JM#position=40&search_layout=stack&type=item&tracking_id=5a5de2e5-84f7-48ba-bb2c-11c67d1b3d8d","Kei Project Katana Samurai Espada Palanca De Cambios Palanca","311.990","Cantidad:1 unidad(12 disponibles)","Aguachica, Cesar"
"1661798154-90","https://listado.mercadolibre.com.co/katanas-japonesas#D[A:katanas%20japonesas]","https://listado.mercadolibre.com.co/deportes-fitness/boxeo-artes-marciales/proteccion-defensa/katanas/katanas-japonesas_NoIndex_True","Espada Katana Bokken Madera Entrenamiento Kendo","https://articulo.mercadolibre.com.co/MCO-618074204-espada-katana-bokken-madera-entrenamiento-kendo-_JM#position=30&search_layout=stack&type=item&tracking_id=2f7c856e-2c8b-4255-b63f-3bf50d1a0170","Espada Katana Bokken Madera Entrenamiento Kendo","249.900","Cantidad:1 unidad(3 disponibles)","Chapinero, Bogotá D.C."
"1661798025-31","https://listado.mercadolibre.com.co/katanas-japonesas#D[A:katanas%20japonesas]","https://listado.mercadolibre.com.co/deportes-fitness/boxeo-artes-marciales/proteccion-defensa/katanas/katanas-japonesas_Desde_51_NoIndex_True","Catillas De Palanca De Palanca 20 Centímetros Azul Blanco","https://articulo.mercadolibre.com.co/MCO-821931287-catillas-de-palanca-de-palanca-20-centimetros-azul-blanco-_JM#position=20&search_layout=stack&type=item&tracking_id=5a5de2e5-84f7-48ba-bb2c-11c67d1b3d8d","Catillas De Palanca De Palanca 20 Centímetros Azul Blanco","320.997","Cantidad:1 unidad(2 disponibles)","China"
