web-scraper-order,web-scraper-start-url,NombreAudifonos,NombreAudifonos-href,NombreProducto,PrecioProducto,VendedorProducto,UnidadesDisponiblesProducto
"1661381474-1","https://listado.mercadolibre.com.co/audifonos-inal%C3%A1mbricos#D[A:audifonos%20inal%C3%A1mbricos]","Audífonos in-ear inalámbricos Sony WI-C310 blue","https://www.mercadolibre.com.co/audifonos-in-ear-inalambricos-sony-wi-c310-blue/p/MCO15273288#searchVariation=MCO15273288&position=52&search_layout=stack&type=product&tracking_id=6557f8a7-b4a7-4a26-a928-b02cc38aa3ff","Audífonos in-ear inalámbricos Sony WI-C310 blue","141.129","RACSO615","(25 disponibles)"
"1661381504-12","https://listado.mercadolibre.com.co/audifonos-inal%C3%A1mbricos#D[A:audifonos%20inal%C3%A1mbricos]","Audífonos in-ear inalámbricos F9 negro","https://www.mercadolibre.com.co/audifonos-in-ear-inalambricos-f9-negro/p/MCO18638143#searchVariation=MCO18638143&position=45&search_layout=stack&type=product&tracking_id=6557f8a7-b4a7-4a26-a928-b02cc38aa3ff","Audífonos in-ear inalámbricos F9 negro","46.500","FLOUSSHOP","(13 disponibles)"
"1661381627-56","https://listado.mercadolibre.com.co/audifonos-inal%C3%A1mbricos#D[A:audifonos%20inal%C3%A1mbricos]","Audífonos in-ear inalámbricos Xiaomi Redmi AirDots negro","https://www.mercadolibre.com.co/audifonos-in-ear-inalambricos-xiaomi-redmi-airdots-negro/p/MCO15283838#searchVariation=MCO15283838&position=1&search_layout=stack&type=product&tracking_id=6557f8a7-b4a7-4a26-a928-b02cc38aa3ff","Audífonos in-ear inalámbricos Xiaomi Redmi AirDots negro","51.234","NETZON_SONIDO COMERCIALIZADORA","(28 disponibles)"
"1661381583-40","https://listado.mercadolibre.com.co/audifonos-inal%C3%A1mbricos#D[A:audifonos%20inal%C3%A1mbricos]","Audífonos in-ear gamer inalámbricos Xiaomi Redmi AirDots 3 Pro gris glaciar","https://www.mercadolibre.com.co/audifonos-in-ear-gamer-inalambricos-xiaomi-redmi-airdots-3-pro-gris-glaciar/p/MCO18446994#searchVariation=MCO18446994&position=17&search_layout=stack&type=product&tracking_id=6557f8a7-b4a7-4a26-a928-b02cc38aa3ff","Audífonos in-ear gamer inalámbricos Xiaomi Redmi AirDots 3 Pro gris glaciar","209.900","Xiaomi","(6 disponibles)"
"1661381593-44","https://listado.mercadolibre.com.co/audifonos-inal%C3%A1mbricos#D[A:audifonos%20inal%C3%A1mbricos]","Audífonos in-ear gamer inalámbricos Xiaomi Redmi AirDots S negro","https://www.mercadolibre.com.co/audifonos-in-ear-gamer-inalambricos-xiaomi-redmi-airdots-s-negro/p/MCO16002078#searchVariation=MCO16002078&position=13&search_layout=stack&type=product&tracking_id=6557f8a7-b4a7-4a26-a928-b02cc38aa3ff","Audífonos in-ear gamer inalámbricos Xiaomi Redmi AirDots S negro","51.485","NETZON_SONIDO COMERCIALIZADORA","(20 disponibles)"
"1661381488-6","https://listado.mercadolibre.com.co/audifonos-inal%C3%A1mbricos#D[A:audifonos%20inal%C3%A1mbricos]","Audífonos inalámbricos JBL Tune 510BT rosa","https://www.mercadolibre.com.co/audifonos-inalambricos-jbl-tune-510bt-rosa/p/MCO17968069#searchVariation=MCO17968069&position=51&search_layout=stack&type=product&tracking_id=6557f8a7-b4a7-4a26-a928-b02cc38aa3ff","Audífonos inalámbricos JBL Tune 510BT rosa","168.000","PDA YSMARTPHONE","null"
"1661381496-9","https://listado.mercadolibre.com.co/audifonos-inal%C3%A1mbricos#D[A:audifonos%20inal%C3%A1mbricos]","Audífonos in-ear inalámbricos Samsung Galaxy Buds Pro negro","https://www.mercadolibre.com.co/audifonos-in-ear-inalambricos-samsung-galaxy-buds-pro-negro/p/MCO17494382#searchVariation=MCO17494382&position=48&search_layout=stack&type=product&tracking_id=6557f8a7-b4a7-4a26-a928-b02cc38aa3ff","Audífonos in-ear inalámbricos Samsung Galaxy Buds Pro negro","670.000","RAPIPAK","null"
"1661381588-42","https://listado.mercadolibre.com.co/audifonos-inal%C3%A1mbricos#D[A:audifonos%20inal%C3%A1mbricos]","Audífonos in-ear inalámbricos Sony 1000X Series WF-1000XM4 negro","https://www.mercadolibre.com.co/audifonos-in-ear-inalambricos-sony-1000x-series-wf-1000xm4-negro/p/MCO18155224#searchVariation=MCO18155224&position=15&search_layout=stack&type=product&tracking_id=6557f8a7-b4a7-4a26-a928-b02cc38aa3ff","Audífonos in-ear inalámbricos Sony 1000X Series WF-1000XM4 negro","959.900","Sony","(38 disponibles)"
"1661381513-15","https://listado.mercadolibre.com.co/audifonos-inal%C3%A1mbricos#D[A:audifonos%20inal%C3%A1mbricos]","Audífonos in-ear inalámbricos Huawei FreeBuds 4i silver frost","https://www.mercadolibre.com.co/audifonos-in-ear-inalambricos-huawei-freebuds-4i-silver-frost/p/MCO18470368#searchVariation=MCO18470368&position=42&search_layout=stack&type=product&tracking_id=6557f8a7-b4a7-4a26-a928-b02cc38aa3ff","Audífonos in-ear inalámbricos Huawei FreeBuds 4i silver frost","310.000","TECNOJMGSOLUCIONES","(2 disponibles)"
"1661381507-13","https://listado.mercadolibre.com.co/audifonos-inal%C3%A1mbricos#D[A:audifonos%20inal%C3%A1mbricos]","Audífonos inalámbricos Lenovo X3 negro","https://www.mercadolibre.com.co/audifonos-inalambricos-lenovo-x3-negro/p/MCO19373200#searchVariation=MCO19373200&position=44&search_layout=stack&type=product&tracking_id=6557f8a7-b4a7-4a26-a928-b02cc38aa3ff","Audífonos inalámbricos Lenovo X3 negro","74.900","SEBASZULU32","(15 disponibles)"
"1661381585-41","https://listado.mercadolibre.com.co/audifonos-inal%C3%A1mbricos#D[A:audifonos%20inal%C3%A1mbricos]","Audífonos inalámbricos Lenovo LP7 negro","https://www.mercadolibre.com.co/audifonos-inalambricos-lenovo-lp7-negro/p/MCO18536671#searchVariation=MCO18536671&position=16&search_layout=stack&type=product&tracking_id=6557f8a7-b4a7-4a26-a928-b02cc38aa3ff","Audífonos inalámbricos Lenovo LP7 negro","114.900","SUPER_COMPRA_PLUS","(6 disponibles)"
"1661381619-53","https://listado.mercadolibre.com.co/audifonos-inal%C3%A1mbricos#D[A:audifonos%20inal%C3%A1mbricos]","Teléfono inalámbrico Panasonic KX-TGC360 negro","https://click1.mercadolibre.com.co/mclics/clicks/external/MCO/count?a=F%2B5bIozPka2x9SgNOpCnghdcZVEIoJaLuY2ijuY5c9RBKuTgqK509A0MKrY1EvpwoXCMer5SgqLUg3yfhNFr5DhO3fRUUix8AKxgSEFqUmlLdoXSV%2BD3ghPj0wqra4ZJpwu%2BMWqXxDmU7Q65infywvmnaZjja4P8Wk%2BMbAuuoPUwip557Zn2hbngb6aBsASvaTUgWQ58Dc08bQ%2FBlgiFcwMgb8FMsS8pkAWu670qmZxlVkCgipTW6HM6wR%2BDojOfhALoLwx6TYrlMpoOBAaqZagRHz9sn96QAOtfx81p%2FC3wn7yzhSzLKmNySgU7nmgLxHDaoa%2BHzfM4H2pn5pxCoJMSIHdYM%2FE8Yn5pMZXVm6Ba9DdDUa2VCdcR%2FUHTsMVjL4CUV81pWRCokqTKYj5tHPRmjMSfwq5G9Ef2YpdlnTgulQYJzwxGqAjjAh1dNPdUtBoM2eAW%2F99%2FDv25bI8EadRBow1NeLRGVUg9CJ0Qy99aIywAQ92n1f%2FzQhiUzcD%2FGdHCBQXnUM2H2C6N8Cmc8Eqo4QXL0no0QrPd9c63PY11sKbQxYJIuuixQH5OxS3e6B3%2B%2B%2BjsaND5ygHmjSWRE2YQp6ZVdYO0n3yvOr4eGVi3o7mkm0W94sWz5vObCU%2B0TFJr2QWxktJd6v8IGognOw1GsgP1nOyScDRP5gsJCybS3zx%2BXbvaTllOjfYtLfKztzitJCMMIlg3pRKO&rb=x","Teléfono inalámbrico Panasonic KX-TGC360 negro","199.000","ELECTROCOMPRASONLINE","(51 disponibles)"
"1661381547-27","https://listado.mercadolibre.com.co/audifonos-inal%C3%A1mbricos#D[A:audifonos%20inal%C3%A1mbricos]","Audífonos in-ear inalámbricos Lenovo LivePods LP1 negro","https://click1.mercadolibre.com.co/mclics/clicks/external/MCO/count?a=bCAy12z%2Fa7%2FkBw%2FedYZIBD9HVLouR9NQKOaKMAgLVkpr9wVnHPjJ0cfDQ55O2Ilgk71gduOOzDWAEJJzFvRgJ7Kuq8ORu0UQtUbxXGc55n8kFf%2FrZ4eHtW3HvbEqOiXMJmwTWv0oR24Chm%2FwWMNOnF%2FyyI8wDA0g4UZ%2BDq43D9jTnorxqlUeCjHbqrCZvsWVp20MWXpHwxMDqwJtaNMUFOugbA5%2F1RIJTBQ6RjVjJ5UfMZrXvzQzEyx22TWU55493KhrCptqWePozxAXUpSFlIMYOqjwuGQQ7VKJpZQLRoY%2FEAw8%2BoNemcHlsZk5AXJu5qG0%2FN2KE0R4DaC57xMV%2Fkpgh5DvNQkxvUxAN0gFxVKNr%2BJWp0VwvdiZ0B00TxZ98waNAXmtgLb0IZiSGUm0cPUfcaSnzaV4OwNB6ZrE9kYAzTzPJRhvyDI%2BkeM2n7eP9aXdDZeT6kT7OsOzso89eh6p3GOilNyoop075WubObY6kXW4IMoCymUezttLg3B9PPXx5Lz46a66qAL9NHZRrU7aOr9Oxe1UZyzQRwGoeD1Mx6Mmb014naLCSXzNYyhTsevAXDapESeqssnXta7Vhb8PZmsb4VMocJ1eXy%2F87nTRwK4WqG9uTTTsQo3jgAAe1b3Xip0PIYroINeRkCSNeQjFbqWQbJfaOBWNWuvtpuG1TRSrIeaj603693qf4nUOcoOX6vtApKCDz2VwkvIukhkgs4%2B%2Bp0VC&rb=x","Audífonos in-ear inalámbricos Lenovo LivePods LP1 negro","77.900","TWISTERSHOPSAS","(7 disponibles)"
"1661381566-34","https://listado.mercadolibre.com.co/audifonos-inal%C3%A1mbricos#D[A:audifonos%20inal%C3%A1mbricos]","Audífonos in-ear inalámbricos Haylou GT Series GT6 negro","https://www.mercadolibre.com.co/audifonos-in-ear-inalambricos-haylou-gt-series-gt6-negro/p/MCO18463325#searchVariation=MCO18463325&position=23&search_layout=stack&type=product&tracking_id=6557f8a7-b4a7-4a26-a928-b02cc38aa3ff","Audífonos in-ear inalámbricos Haylou GT Series GT6 negro","94.000","ELECTRICAUCHOSIM","(50 disponibles)"
"1661381538-24","https://listado.mercadolibre.com.co/audifonos-inal%C3%A1mbricos#D[A:audifonos%20inal%C3%A1mbricos]","Audífonos in-ear inalámbricos F9-5 blanco","https://www.mercadolibre.com.co/audifonos-in-ear-inalambricos-f9-5-blanco/p/MCO17546621#searchVariation=MCO17546621&position=33&search_layout=stack&type=product&tracking_id=6557f8a7-b4a7-4a26-a928-b02cc38aa3ff","Audífonos in-ear inalámbricos F9-5 blanco","48.504","THEFITT FROG","(22 disponibles)"
"1661381605-48","https://listado.mercadolibre.com.co/audifonos-inal%C3%A1mbricos#D[A:audifonos%20inal%C3%A1mbricos]","Audífonos in-ear inalámbricos Lenovo LivePods LP40 blanco","https://www.mercadolibre.com.co/audifonos-in-ear-inalambricos-lenovo-livepods-lp40-blanco/p/MCO18055305#searchVariation=MCO18055305&position=9&search_layout=stack&type=product&tracking_id=6557f8a7-b4a7-4a26-a928-b02cc38aa3ff","Audífonos in-ear inalámbricos Lenovo LivePods LP40 blanco","59.143","IMPORTACIONES RED","(3 disponibles)"
